path,size_bytes,source_sha256,staged_sha256,copy_validation
reports/audit/03_data_diagnosis/06_financial_consistency_by_order.csv,9000792,cf36a91b2e82ad05e0c2bbf75e4bce722bc72e304a55fcea72c57ccce15ba726,cf36a91b2e82ad05e0c2bbf75e4bce722bc72e304a55fcea72c57ccce15ba726,PASS
reports/audit/03_data_diagnosis/11_geolocation_zip_profile.csv,3169879,1e9449f0a4329717dd9768ea8180377edc3c715c0cd58a862b49a7e2d0dd05d7,1e9449f0a4329717dd9768ea8180377edc3c715c0cd58a862b49a7e2d0dd05d7,PASS
reports/data_quality/gate_03b_conditional_task/04_task_order_feature_readiness.csv,18040971,a6abfa914c42ee38e3183f52c78ffcf3e04a5ebcd8366c53e43aff4defee2fff,a6abfa914c42ee38e3183f52c78ffcf3e04a5ebcd8366c53e43aff4defee2fff,PASS
reports/data_quality/gate_05_point_in_time/03a_seller_history_pit_audit_matrix.csv,19545864,2a1a63eb859d3b9051c70e9bb4d7053987b4217c268746692777c0c1e82ebe78,2a1a63eb859d3b9051c70e9bb4d7053987b4217c268746692777c0c1e82ebe78,PASS
reports/data_quality/gate_05_point_in_time/03f_order_level_seller_history_coverage.csv,6302092,4cfbb386903430c064b8f4411b73bcf6492e9616c194f316c4aa70b03bfaddc0,4cfbb386903430c064b8f4411b73bcf6492e9616c194f316c4aa70b03bfaddc0,PASS
reports/final_closeout/25i_prequential_blend_predictions.csv,5524093,fc4f17ed14f31cb545e789fb60b366abcb84dc88b61f0644441a950123196cff,fc4f17ed14f31cb545e789fb60b366abcb84dc88b61f0644441a950123196cff,PASS
reports/modeling/model_01_order_logistic/02a_functional_pit_order_index.csv,6645412,882c8800810d16fecfd6445379ba7272f9e676ddc5eb25fe0ad2407f8fed2513,882c8800810d16fecfd6445379ba7272f9e676ddc5eb25fe0ad2407f8fed2513,PASS
reports/modeling/model_01_order_logistic/02l_history_support_by_order.csv,9631640,376af5b399301ac30f28a2b70945ad72d00d0e3add09e2418c73ef695d49d145,376af5b399301ac30f28a2b70945ad72d00d0e3add09e2418c73ef695d49d145,PASS
reports/modeling/model_01_order_logistic/04m_temporal_bcv_fold_rank_errors.csv,2413055,0f4e3c9553ff9ba0f6c907fd56f22ace72013ad6999c6c8cbb5b7c0a73a13523,0f4e3c9553ff9ba0f6c907fd56f22ace72013ad6999c6c8cbb5b7c0a73a13523,PASS
reports/spatiotemporal_logistics/scientific/gnadmm_delivery/20b_constraint_ablation_oot_predictions.csv,9711201,e84dab09f315cffea2f2ed1cf8be682ccd0c40b4a6df7cc591c1bdcc278750fc,e84dab09f315cffea2f2ed1cf8be682ccd0c40b4a6df7cc591c1bdcc278750fc,PASS
