metric,m0_mean,m1_mean,m0_median,m1_median,mean_delta_m1_minus_m0,median_delta_m1_minus_m0
average_precision,0.0876830300155891,0.08701550829274039,0.06705943047460497,0.06660386708531792,-0.0006675217228487072,-0.001320838555051971
roc_auc,0.571107967061281,0.5623584979579149,0.5869458620112564,0.5736054596506953,-0.008749469103366044,-0.007802268479327967
brier,0.06387126011761236,0.06380731754721385,0.04845236798244548,0.04833917613417257,-6.39425703985093e-05,-3.032220212680764e-05
log_loss,0.254930914058617,0.2562844941273006,0.20105960083539748,0.20277606155513495,0.0013535800686835697,-4.8843270783541226e-05
