gate,check_id,dimension,severity,status,affected,denominator,affected_pct,observed,expected,details
DQ_GATE_04_LABEL_CONSTRUCT_VALIDITY,LBL-007,status_outcome_consistency,WARNING,WARN,8,96478,0.008292045855013579,8 delivered statuses without actual delivery timestamp,0 preferred,
DQ_GATE_04_LABEL_CONSTRUCT_VALIDITY,LBL-008,status_outcome_consistency,WARNING,WARN,6,99441,0.00603372854255287,6 non-delivered statuses with actual timestamp,0 preferred,
