lateness_bucket,orders,pct_task
<= -8 days,71303,73.91209702498186
-7 to -2 days,15879,16.460039390484088
-1 day,1462,1.5154970457136934
0 days / same promised day,1292,1.3392764590027988
+1 day,825,0.855188141391106
+2 to +3 days,1045,1.0832383124287344
+4 to +7 days,1802,1.8679382191354825
+8 to +14 days,1478,1.5320825126982482
>= +15 days,1384,1.4346428941639888
