label_definition,role,orders,late_orders,on_time_orders,late_rate_pct,late_rate_ci95_low_pct,late_rate_ci95_high_pct,no_skill_pr_auc,majority_class_accuracy
TIMESTAMP_STRICT,candidate,96470,7826,88644,8.112366538820359,7.941742107140945,8.286326789134218,0.08112366538820359,0.9188763346117964
CALENDAR_DAY,candidate,96470,6534,89936,6.7730900798175595,6.61623695954664,6.9333856751033265,0.06773090079817559,0.9322690992018244
CALENDAR_DAY_PLUS_1_GRACE,sensitivity_only,96470,5709,90761,5.9179019384264535,5.770751686930646,6.068562769823978,0.059179019384264536,0.9408209806157355
