channel,pve_policy,temporal_tests,mean_future_error,median_future_error,p95_future_error,sd_future_error,se_future_error,mean_future_variance_captured,mean_k,median_k,min_k,max_k,sd_k,previous_policy,added_components_vs_previous,error_reduction_vs_previous
purchase_freight,0.8,17,0.41504832244818596,0.40045518188925516,0.6799774282584875,0.1206502178767259,0.029261976003501472,0.8140346781988747,6.0588235294117645,5.0,4,9,2.1056646289026575,,,
purchase_freight,0.85,17,0.36510592199637326,0.32795774299196445,0.5982541800478345,0.12402003555620508,0.03007927684065244,0.8522214593990725,8.411764705882353,8.0,5,12,2.450990196058824,0.8,2.3529411764705888,0.049942400451812696
purchase_freight,0.9,17,0.3100039582298001,0.27950222510217243,0.5271118719292482,0.12268699406372725,0.029755966789074963,0.8897308649290159,12.058823529411764,13.0,8,15,2.0454396909739883,0.85,3.6470588235294112,0.05510196376657317
purchase_freight,0.95,17,0.23903699030363235,0.22344044760266424,0.37041000553883235,0.10418281899800663,0.025268045123728683,0.9326457315965846,17.941176470588236,19.0,11,20,2.1642142984029484,0.9,5.882352941176471,0.07096696792616775
purchase_freight,0.99,17,0.11027992515478188,0.09709795507203887,0.19733408588805662,0.04115542980916486,0.00998165789240473,0.9862442021993596,26.88235294117647,27.0,24,28,0.9926198253344826,0.95,8.941176470588236,0.12875706514885046
purchase_volume,0.8,17,0.4159208421357735,0.39169409460144194,0.7240098396171664,0.14709475928928112,0.03567571938379474,0.8066457418202486,5.764705882352941,5.0,3,9,2.305683514836378,,,
purchase_volume,0.85,17,0.3594776658139546,0.31945347925313533,0.6487510330450922,0.13187237523547504,0.03198374895276178,0.8544084446277782,7.705882352941177,6.0,5,12,2.7785946511310566,0.8,1.9411764705882355,0.05644317632181889
purchase_volume,0.9,17,0.3055432295575605,0.26795836463994116,0.5925005698619252,0.1393406116184589,0.03379506233182785,0.8883696350633418,10.882352941176471,10.0,7,15,2.803621607429765,0.85,3.1764705882352944,0.0539344362563941
purchase_volume,0.95,17,0.23239175374514406,0.21014020054692523,0.4290605799038465,0.12147320535993168,0.029461579787137863,0.932106317854394,16.764705882352942,17.0,10,20,2.3592745644770203,0.9,5.882352941176471,0.07315147581241646
purchase_volume,0.99,17,0.11247659287759149,0.10052278053943535,0.19939557069341984,0.04969106185841862,0.012051852746550646,0.9850250615806558,26.176470588235293,27.0,22,27,1.3339459376998315,0.95,9.411764705882351,0.11991516086755258
