previous_month,current_month,adjacent_mean_ks,adjacent_max_ks,adjacent_mean_psi,adjacent_max_psi,adjacent_mean_js,adjacent_max_js,adjacent_target_delta_pp,historical_orders,current_orders,expanding_mean_ks,expanding_max_ks,expanding_mean_psi,expanding_max_psi,expanding_mean_js,expanding_max_js,expanding_mean_norm_wasserstein,expanding_max_norm_wasserstein,historical_late_rate_pct,current_late_rate_pct,expanding_target_delta_pp,rank_adjacent_mean_ks,rank_adjacent_mean_psi,rank_adjacent_mean_js,rank_expanding_mean_ks,rank_expanding_mean_psi,rank_expanding_mean_js,rank_expanding_mean_norm_wasserstein,rank_abs_adjacent_target_delta,rank_abs_expanding_target_delta,local_covariate_score,persistent_covariate_score,target_change_score,consensus_regime_score,consensus_rank,dominant_feature,dominant_feature_score,dominant_ks,dominant_psi,dominant_js,dominant_norm_wasserstein
2017-01,2017-02,0.0478989250314114,0.0868287961282515,0.0745745453605985,0.2351751472994085,0.0937641632834716,0.2017309925010076,0.0309739866908653,1017,1653,0.0430886571451594,0.0640562345748411,0.0613964872593577,0.1898128198972515,0.0851907458528729,0.1789878859520252,0.1630765518456767,0.2161609002462817,2.4582104228121926,2.9643073200241985,0.5060968972120059,0.9473684210526315,0.9473684210526315,1.0,0.7368421052631579,0.7894736842105263,1.0,0.8947368421052632,0.05263157894736842,0.10526315789473684,0.9649122807017543,0.8552631578947368,0.07894736842105263,0.6330409356725145,5,mean_freight,0.9384615384615385,0.0640562345748411,0.1898128198972515,0.1789878859520252,0.2161609002462817
2017-02,2017-03,0.0243619956895683,0.0510198553511932,0.0087336376675084,0.0159922168885188,0.0328467206248336,0.0536624216021433,1.5918592157181428,2670,2546,0.0256103144379091,0.0564657493137505,0.0130678018860646,0.0417345141821417,0.038379543246969,0.0862798838597392,0.0832169198841456,0.1090306331748013,2.7715355805243447,4.556166535742341,1.7846309552179966,0.5263157894736842,0.631578947368421,0.7368421052631579,0.3684210526315789,0.21052631578947367,0.3157894736842105,0.2631578947368421,0.3684210526315789,0.5789473684210527,0.6315789473684211,0.2894736842105263,0.4736842105263158,0.46491228070175444,10,total_freight,0.953846153846154,0.0542135566990593,0.0417345141821417,0.0862798838597392,0.0820673477190305
2017-03,2017-04,0.0210585036917301,0.0311692559894042,0.007435845924341,0.0187877520438628,0.0306352905545077,0.0580735478945797,2.0004986835368594,5216,2303,0.0189158587184534,0.0301068524916819,0.0102407165816916,0.0253775077757516,0.0354866711618226,0.0675388705700256,0.0696848921323955,0.0832157425397481,3.642638036809816,6.556665219279201,2.914027182469385,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.47368421052631576,0.6842105263157895,0.47368421052631576,0.15789473684210525,0.5789473684210527,0.40350877192982454,16,total_freight,0.876923076923077,0.0256794451888574,0.0253775077757516,0.0675388705700256,0.0572063303206424
2017-04,2017-05,0.032938606572433,0.0704652728059984,0.0770228524777669,0.4273780545576556,0.0730873980732019,0.2704560870493185,-3.566538279928002,7519,3545,0.02677426798117,0.0568248823713353,0.0561705004769973,0.3507286821688081,0.0663409535929899,0.2462161543281623,0.0994220277231691,0.1547717785059841,4.535177550206145,2.9901269393511987,-1.545050610854946,0.7894736842105263,1.0,0.9473684210526315,0.47368421052631576,0.631578947368421,0.8421052631578947,0.5789473684210527,0.6842105263157895,0.5263157894736842,0.912280701754386,0.631578947368421,0.6052631578947368,0.7163742690058479,4,mean_freight,0.9384615384615385,0.0566232680688002,0.3507286821688081,0.2462161543281623,0.1547717785059841
2017-05,2017-06,0.020960540461691,0.03653819765467,0.0099685436158067,0.0448107373487178,0.0308571458547571,0.0884924756448247,0.0401760909518316,11064,3135,0.0249744518525201,0.0502214172781589,0.0652534072487228,0.3606010054913681,0.0646695840622251,0.2418235761592965,0.0977262719533603,0.1277771329280006,4.040130151843818,3.0303030303030303,-1.0098271215407877,0.3684210526315789,0.7368421052631579,0.5789473684210527,0.3157894736842105,0.8947368421052632,0.631578947368421,0.5263157894736842,0.10526315789473684,0.3684210526315789,0.5614035087719298,0.5921052631578947,0.23684210526315788,0.46345029239766083,11,mean_freight,0.876923076923077,0.0502214172781589,0.3606010054913681,0.2418235761592965,0.1271988942213036
2017-06,2017-07,0.0196525663331883,0.0340338190517617,0.0057625117631191,0.0145220922224334,0.025711857295555,0.051136623410255,-0.2410468319559227,14199,3872,0.0272630868657557,0.0461900143998035,0.0411843375807635,0.1920132960928248,0.059954194474312,0.1801180048463956,0.1453718551971041,0.1949367220121287,3.817170223255159,2.789256198347108,-1.0279140249080512,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.5263157894736842,0.5263157894736842,0.5789473684210527,0.7894736842105263,0.2631578947368421,0.42105263157894735,0.2982456140350877,0.6052631578947368,0.3421052631578947,0.4152046783625731,14,mean_freight,0.8461538461538461,0.0461900143998035,0.1920132960928248,0.1801180048463956,0.1263261360712848
2017-07,2017-08,0.0168445390169096,0.0288569423064414,0.0053153735579494,0.0135765273572712,0.0250987485043832,0.0494367979156327,0.120355058509558,18071,4193,0.0262708281034066,0.0556353075501022,0.0274612206228884,0.1394303236934487,0.0474904246539657,0.1537751304833863,0.0792166864004563,0.0903194870814652,3.596923247191633,2.9096112568566657,-0.6873119903349671,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.42105263157894735,0.47368421052631576,0.47368421052631576,0.21052631578947367,0.15789473684210525,0.2631578947368421,0.14035087719298245,0.3947368421052631,0.21052631578947367,0.2485380116959064,18,mean_freight,0.9076923076923077,0.0556353075501022,0.1365054685052029,0.1529552658728166,0.0903194870814652
2017-08,2017-09,0.0293911760343765,0.0608581715366115,0.0065071512293277,0.016050844921675,0.0284115552229195,0.0537723314195736,1.4759309118180337,22264,4150,0.0306686598795746,0.0568778599846745,0.0199670435999532,0.0919577177977776,0.0442628525195066,0.1268838897370098,0.1076172971349911,0.1300372797414634,3.467481135465325,4.385542168674699,0.9180610332093742,0.6842105263157895,0.42105263157894735,0.42105263157894735,0.631578947368421,0.42105263157894735,0.42105263157894735,0.631578947368421,0.3157894736842105,0.3157894736842105,0.5087719298245613,0.5263157894736842,0.3157894736842105,0.45029239766081863,12,max_freight,0.8923076923076924,0.0558259267757339,0.0919577177977776,0.1268838897370098,0.1016790029036737
2017-09,2017-10,0.0182638548835807,0.0363187094066305,0.005645209947212,0.0157685371909451,0.0255403315434379,0.0532944237687203,-0.2095707528640691,26414,4478,0.0201991930365027,0.0334541486705336,0.0176696544054286,0.0966785630394512,0.0382767161078868,0.129909478440844,0.0920132599012722,0.1278575121927312,3.6117210570152194,4.17597141581063,0.5642503587954106,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.3684210526315789,0.2631578947368421,0.3157894736842105,0.21052631578947367,0.15789473684210525,0.22807017543859645,0.2894736842105263,0.18421052631578946,0.23391812865497075,19,max_freight,0.8615384615384615,0.0324703463485349,0.0966785630394512,0.129909478440844,0.1183995007471414
2017-10,2017-11,0.0197357382732253,0.0369191814206691,0.0055004843222706,0.0139279384329192,0.0256569753751297,0.0500865062862928,8.227980285616372,30892,7288,0.0164670339112036,0.0271556172540061,0.0146625399054515,0.0592140279659221,0.0380713291520565,0.1023595702957636,0.0592301615564236,0.0831453575060784,3.693512883594458,12.403951701427005,8.710438817832545,0.3157894736842105,0.21052631578947367,0.2631578947368421,0.05263157894736842,0.2631578947368421,0.21052631578947367,0.05263157894736842,0.8947368421052632,0.9473684210526315,0.2631578947368421,0.14473684210526316,0.9210526315789473,0.44298245614035087,13,max_freight,0.8923076923076924,0.0271556172540061,0.0592140279659221,0.1023595702957636,0.0729610616911638
