test_month,k,ap_k,ap_k0,delta_ap
2017-04,1,0.0788628530742527,0.0628638868894198,0.015998966184832902
2017-04,2,0.0814916010060292,0.0628638868894198,0.018627714116609406
2017-04,3,0.0574476764247301,0.0628638868894198,-0.005416210464689694
2017-04,4,0.0577856182889731,0.0628638868894198,-0.005078268600446696
2017-04,5,0.0601302668860596,0.0628638868894198,-0.002733620003360193
2017-04,6,0.0621305479446302,0.0628638868894198,-0.0007333389447895938
2017-04,10,0.0625805874779211,0.0628638868894198,-0.000283299411498697
2017-04,15,0.0594233605522337,0.0628638868894198,-0.003440526337186098
2017-04,20,0.0590863456510277,0.0628638868894198,-0.003777541238392093
2017-04,23,0.0620439926539164,0.0628638868894198,-0.0008198942355033961
2017-04,25,0.0631619422305109,0.0628638868894198,0.0002980553410911052
2017-04,27,0.0694625385146804,0.0628638868894198,0.006598651625260604
2017-04,30,0.0691549190313932,0.0628638868894198,0.006291032141973407
2017-05,1,0.0398598781737773,0.0384332843953395,0.0014265937784377972
2017-05,2,0.0411624151174289,0.0384332843953395,0.0027291307220893984
2017-05,3,0.0412199990339082,0.0384332843953395,0.0027867146385687006
2017-05,4,0.0405815417454063,0.0384332843953395,0.0021482573500667956
2017-05,5,0.0387712061969608,0.0384332843953395,0.0003379218016212951
2017-05,6,0.0380266438313419,0.0384332843953395,-0.00040664056399760534
2017-05,10,0.0315491007262613,0.0384332843953395,-0.006884183669078205
2017-05,15,0.0355161483277018,0.0384332843953395,-0.0029171360676377017
2017-05,20,0.033000733548997,0.0384332843953395,-0.005432550846342504
2017-05,23,0.0314348427833244,0.0384332843953395,-0.006998441612015099
2017-05,25,0.0362042922434845,0.0384332843953395,-0.002228992151855
2017-05,27,0.0343554828423246,0.0384332843953395,-0.004077801553014904
2017-05,30,0.0394497802218558,0.0384332843953395,0.001016495826516299
2017-06,1,0.0473301652888338,0.0450310563928934,0.0022991088959403994
2017-06,2,0.044426473428621,0.0450310563928934,-0.0006045829642723974
2017-06,3,0.0415873285683075,0.0450310563928934,-0.0034437278245859
2017-06,4,0.0428291351133386,0.0450310563928934,-0.0022019212795547985
2017-06,5,0.038763932182667,0.0450310563928934,-0.006267124210226398
2017-06,6,0.0383904605125296,0.0450310563928934,-0.006640595880363795
2017-06,10,0.036483317580738,0.0450310563928934,-0.008547738812155398
2017-06,15,0.0339970148808123,0.0450310563928934,-0.011034041512081101
2017-06,20,0.0327633238132961,0.0450310563928934,-0.012267732579597297
2017-06,23,0.0416320304731816,0.0450310563928934,-0.0033990259197117997
2017-06,25,0.0335026880740432,0.0450310563928934,-0.0115283683188502
2017-06,27,0.0318479156659809,0.0450310563928934,-0.013183140726912498
2017-06,30,0.0303479143497647,0.0450310563928934,-0.014683142043128698
2017-07,1,0.0515150998771798,0.0542808961737159,-0.002765796296536095
2017-07,2,0.0328909455962338,0.0542808961737159,-0.021389950577482095
2017-07,3,0.0313926465390471,0.0542808961737159,-0.022888249634668796
2017-07,4,0.0313311130673809,0.0542808961737159,-0.022949783106334998
2017-07,5,0.033374057569819,0.0542808961737159,-0.020906838603896895
2017-07,6,0.032891998711402,0.0542808961737159,-0.0213888974623139
2017-07,10,0.0334567918494844,0.0542808961737159,-0.0208241043242315
2017-07,15,0.0358104199594183,0.0542808961737159,-0.0184704762142976
2017-07,20,0.0344900883003979,0.0542808961737159,-0.019790807873317995
2017-07,23,0.0313512053608407,0.0542808961737159,-0.0229296908128752
2017-07,25,0.0379351721516046,0.0542808961737159,-0.016345724022111298
2017-07,27,0.0345995481698513,0.0542808961737159,-0.019681348003864597
2017-07,30,0.0343140459216705,0.0542808961737159,-0.0199668502520454
2017-08,1,0.0351380895177605,0.0364158232290804,-0.001277733711319902
2017-08,2,0.0352365528603854,0.0364158232290804,-0.0011792703686950012
2017-08,3,0.0368893974562776,0.0364158232290804,0.00047357422719720293
2017-08,4,0.0360871225084227,0.0364158232290804,-0.0003287007206577014
2017-08,5,0.0361658218676214,0.0364158232290804,-0.0002500013614590013
2017-08,6,0.0340740152899603,0.0364158232290804,-0.0023418079391201024
2017-08,10,0.0334278561228209,0.0364158232290804,-0.0029879671062595023
2017-08,15,0.0332838423283236,0.0364158232290804,-0.003131980900756802
2017-08,20,0.032600782878616,0.0364158232290804,-0.0038150403504643993
2017-08,23,0.0326409684076539,0.0364158232290804,-0.0037748548214264974
2017-08,25,0.0337020921516746,0.0364158232290804,-0.002713731077405801
2017-08,27,0.0335140172735515,0.0364158232290804,-0.0029018059555288994
2017-08,30,0.0337373984956352,0.0364158232290804,-0.002678424733445199
2017-09,1,0.0578471044346402,0.0562024414170717,0.0016446630175684998
2017-09,2,0.0482622618101674,0.0562024414170717,-0.007940179606904303
2017-09,3,0.0563395528475021,0.0562024414170717,0.00013711143043039498
2017-09,4,0.0457563981451005,0.0562024414170717,-0.010446043271971205
2017-09,5,0.0433276671326727,0.0562024414170717,-0.012874774284399003
2017-09,6,0.0431214135959081,0.0562024414170717,-0.013081027821163604
2017-09,10,0.0457541147573071,0.0562024414170717,-0.010448326659764605
2017-09,15,0.0438961698446197,0.0562024414170717,-0.012306271572452003
2017-09,20,0.0411789720895694,0.0562024414170717,-0.0150234693275023
2017-09,23,0.0425878746214921,0.0562024414170717,-0.013614566795579604
2017-09,25,0.0416766629226081,0.0562024414170717,-0.014525778494463605
2017-09,27,0.0413597129101195,0.0562024414170717,-0.014842728506952202
2017-09,30,0.0440460530881544,0.0562024414170717,-0.0121563883289173
2017-10,1,0.043446584179797,0.049525386831164,-0.006078802651367003
2017-10,2,0.0419894994001199,0.049525386831164,-0.007535887431044101
2017-10,3,0.0443586649844228,0.049525386831164,-0.005166721846741204
2017-10,4,0.0432251904818668,0.049525386831164,-0.006300196349297203
2017-10,5,0.041788961231517,0.049525386831164,-0.007736425599647004
2017-10,6,0.0416888324851829,0.049525386831164,-0.0078365543459811
2017-10,10,0.0427775206788537,0.049525386831164,-0.0067478661523103015
2017-10,15,0.0420685375539012,0.049525386831164,-0.0074568492772628045
2017-10,20,0.0416703949103155,0.049525386831164,-0.0078549919208485
2017-10,23,0.0415510045233598,0.049525386831164,-0.007974382307804201
2017-10,25,0.0418197826948184,0.049525386831164,-0.007705604136345606
2017-10,27,0.0417770305106799,0.049525386831164,-0.0077483563204841024
2017-10,30,0.0413650053880852,0.049525386831164,-0.008160381443078804
2017-11,1,0.1176705400087761,0.1609792895638693,-0.043308749555093215
2017-11,2,0.12033835307566,0.1609792895638693,-0.04064093648820931
2017-11,3,0.1292516208596791,0.1609792895638693,-0.03172766870419022
2017-11,4,0.1088316094610745,0.1609792895638693,-0.052147680102794816
2017-11,5,0.135108574080889,0.1609792895638693,-0.02587071548298031
2017-11,6,0.1381114187536566,0.1609792895638693,-0.022867870810212715
2017-11,10,0.1372444658987391,0.1609792895638693,-0.023734823665130217
2017-11,15,0.1074546242809188,0.1609792895638693,-0.05352466528295051
2017-11,20,0.1121254042817198,0.1609792895638693,-0.04885388528214951
2017-11,23,0.1080976159504402,0.1609792895638693,-0.0528816736134291
2017-11,25,0.1100377619431124,0.1609792895638693,-0.050941527620756905
2017-11,27,0.1183918519313734,0.1609792895638693,-0.04258743763249591
2017-11,30,0.1161331866236605,0.1609792895638693,-0.04484610294020881
2017-12,1,0.0736117713033952,0.1124367001203901,-0.0388249288169949
2017-12,2,0.0694593498271751,0.1124367001203901,-0.042977350293215005
2017-12,3,0.0661447685997335,0.1124367001203901,-0.046291931520656596
2017-12,4,0.0602328695036248,0.1124367001203901,-0.0522038306167653
2017-12,5,0.0614822564345602,0.1124367001203901,-0.0509544436858299
2017-12,6,0.0615565023674022,0.1124367001203901,-0.0508801977529879
2017-12,10,0.0641339857568523,0.1124367001203901,-0.04830271436353781
2017-12,15,0.0704033157157019,0.1124367001203901,-0.04203338440468821
2017-12,20,0.0698155695930179,0.1124367001203901,-0.042621130527372195
2017-12,23,0.0697618203762361,0.1124367001203901,-0.042674879744154
2017-12,25,0.0703543365862018,0.1124367001203901,-0.0420823635341883
2017-12,27,0.0700416687210128,0.1124367001203901,-0.042395031399377295
2017-12,30,0.0701716490639635,0.1124367001203901,-0.0422650510564266
2018-01,1,0.0857319690111966,0.0802215338454625,0.005510435165734101
2018-01,2,0.0643682178222778,0.0802215338454625,-0.015853316023184696
2018-01,3,0.0616603648017728,0.0802215338454625,-0.0185611690436897
2018-01,4,0.0586780455370153,0.0802215338454625,-0.021543488308447205
2018-01,5,0.0570443184196086,0.0802215338454625,-0.023177215425853902
2018-01,6,0.0562009966950422,0.0802215338454625,-0.024020537150420303
2018-01,10,0.0551648325238342,0.0802215338454625,-0.0250567013216283
2018-01,15,0.0572200355428236,0.0802215338454625,-0.023001498302638902
2018-01,20,0.0555664113231306,0.0802215338454625,-0.0246551225223319
2018-01,23,0.0550092734341246,0.0802215338454625,-0.0252122604113379
2018-01,25,0.0556574683617361,0.0802215338454625,-0.024564065483726402
2018-01,27,0.0559454703478191,0.0802215338454625,-0.024276063497643406
2018-01,30,0.0563738025278675,0.0802215338454625,-0.023847731317595003
2018-02,1,0.1201784982375124,0.1830184698021229,-0.06283997156461052
2018-02,2,0.126640924339297,0.1830184698021229,-0.05637754546282592
2018-02,3,0.1266341836147447,0.1830184698021229,-0.0563842861873782
2018-02,4,0.1300209830042384,0.1830184698021229,-0.05299748679788452
2018-02,5,0.1285020853116957,0.1830184698021229,-0.0545163844904272
2018-02,6,0.1296641428937307,0.1830184698021229,-0.0533543269083922
2018-02,10,0.1295907638527171,0.1830184698021229,-0.053427705949405824
2018-02,15,0.1275269859629481,0.1830184698021229,-0.05549148383917482
2018-02,20,0.1295649414535496,0.1830184698021229,-0.05345352834857331
2018-02,23,0.1276253822361325,0.1830184698021229,-0.0553930875659904
2018-02,25,0.1272541340196629,0.1830184698021229,-0.05576433578246001
2018-02,27,0.1286750844443675,0.1830184698021229,-0.0543433853577554
2018-02,30,0.1316767520140935,0.1830184698021229,-0.0513417177880294
2018-03,1,0.1625068164942904,0.2426489580322382,-0.0801421415379478
2018-03,2,0.1680970718560301,0.2426489580322382,-0.07455188617620812
2018-03,3,0.16673382646846,0.2426489580322382,-0.07591513156377822
2018-03,4,0.1701099422965712,0.2426489580322382,-0.07253901573566701
2018-03,5,0.1701487426624375,0.2426489580322382,-0.0725002153698007
2018-03,6,0.1702820422638618,0.2426489580322382,-0.07236691576837642
2018-03,10,0.1688596755361261,0.2426489580322382,-0.07378928249611211
2018-03,15,0.1704335342405726,0.2426489580322382,-0.07221542379166562
2018-03,20,0.1729227876454991,0.2426489580322382,-0.06972617038673912
2018-03,23,0.1733116608700134,0.2426489580322382,-0.06933729716222481
2018-03,25,0.1749546462851232,0.2426489580322382,-0.06769431174711502
2018-03,27,0.1740554824526722,0.2426489580322382,-0.06859347557956602
2018-03,30,0.1730348941918879,0.2426489580322382,-0.06961406384035032
2018-04,1,0.085828303320562,0.0814990769934874,0.004329226327074609
2018-04,2,0.070330465030849,0.0814990769934874,-0.011168611962638395
2018-04,3,0.075206087714348,0.0814990769934874,-0.006292989279139391
2018-04,4,0.0729115900317223,0.0814990769934874,-0.00858748696176509
2018-04,5,0.0798616178638093,0.0814990769934874,-0.0016374591296780955
2018-04,6,0.0779017444760647,0.0814990769934874,-0.0035973325174226967
2018-04,10,0.0709333696483142,0.0814990769934874,-0.01056570734517319
2018-04,15,0.072993788941132,0.0814990769934874,-0.008505288052355398
2018-04,20,0.0743083608222697,0.0814990769934874,-0.007190716171217693
2018-04,23,0.074216824597844,0.0814990769934874,-0.007282252395643396
2018-04,25,0.0751845088139675,0.0814990769934874,-0.006314568179519892
2018-04,27,0.074567998146076,0.0814990769934874,-0.006931078847411398
2018-04,30,0.0738719349788663,0.0814990769934874,-0.007627142014621099
2018-05,1,0.0868891292847862,0.0786892254683669,0.008199903816419302
2018-05,2,0.1075081742224804,0.0786892254683669,0.02881894875411349
2018-05,3,0.1094055932252126,0.0786892254683669,0.03071636775684569
2018-05,4,0.1088786202849299,0.0786892254683669,0.030189394816562992
2018-05,5,0.1082537435563572,0.0786892254683669,0.029564518087990294
2018-05,6,0.107617762607805,0.0786892254683669,0.028928537139438104
2018-05,10,0.1084404265436704,0.0786892254683669,0.029751201075303504
2018-05,15,0.1067176823015299,0.0786892254683669,0.028028456833163004
2018-05,20,0.104993331393709,0.0786892254683669,0.026304105925342103
2018-05,23,0.1043021739389191,0.0786892254683669,0.02561294847055219
2018-05,25,0.104914653322681,0.0786892254683669,0.0262254278543141
2018-05,27,0.104169991003762,0.0786892254683669,0.025480765535395092
2018-05,30,0.1059653490318583,0.0786892254683669,0.027276123563491392
2018-06,1,0.0162734825584371,0.0190333083572429,-0.0027598257988057998
2018-06,2,0.0200918734938284,0.0190333083572429,0.0010585651365855007
2018-06,3,0.0198264511392808,0.0190333083572429,0.0007931427820378999
2018-06,4,0.0203395521842242,0.0190333083572429,0.001306243826981298
2018-06,5,0.0228888642265871,0.0190333083572429,0.003855555869344201
2018-06,6,0.0221939185448404,0.0190333083572429,0.0031606101875974978
2018-06,10,0.0216071085776544,0.0190333083572429,0.002573800220411499
2018-06,15,0.0213751042869228,0.0190333083572429,0.0023417959296798997
2018-06,20,0.0216318488338245,0.0190333083572429,0.0025985404765816005
2018-06,23,0.0225070367553304,0.0190333083572429,0.0034737283980874993
2018-06,25,0.0223269842360294,0.0190333083572429,0.003293675878786498
2018-06,27,0.0234708393591636,0.0190333083572429,0.004437531001920698
2018-06,30,0.0233078488193511,0.0190333083572429,0.004274540462108199
2018-07,1,0.0392959821569225,0.0414453413640273,-0.002149359207104795
2018-07,2,0.0421189165482876,0.0414453413640273,0.0006735751842603041
2018-07,3,0.0408352674535786,0.0414453413640273,-0.0006100739104486982
2018-07,4,0.0394687510009122,0.0414453413640273,-0.0019765903631151008
2018-07,5,0.0406986213808273,0.0414453413640273,-0.0007467199832000004
2018-07,6,0.0419732861013114,0.0414453413640273,0.0005279447372841042
2018-07,10,0.0432164583686806,0.0414453413640273,0.0017711170046533012
2018-07,15,0.0418626859915247,0.0414453413640273,0.0004173446274974013
2018-07,20,0.0423894227150414,0.0414453413640273,0.0009440813510140991
2018-07,23,0.0416901385152629,0.0414453413640273,0.00024479715123560536
2018-07,25,0.04148188223528,0.0414453413640273,3.65408712527035e-05
2018-07,27,0.0412883784378583,0.0414453413640273,-0.0001569629261689992
2018-07,30,0.0422798845005542,0.0414453413640273,0.000834543136526901
2018-08,1,0.0421669814185124,0.0485715622461443,-0.0064045808276319005
2018-08,2,0.0585300015560828,0.0485715622461443,0.009958439309938505
2018-08,3,0.0594110017254893,0.0485715622461443,0.010839439479345
2018-08,4,0.0579637528007379,0.0485715622461443,0.009392190554593602
2018-08,5,0.0588246348707378,0.0485715622461443,0.010253072624593504
2018-08,6,0.0707003830018196,0.0485715622461443,0.022128820755675307
2018-08,10,0.0672016436436862,0.0485715622461443,0.01863008139754191
2018-08,15,0.0691467895332491,0.0485715622461443,0.0205752272871048
2018-08,20,0.0687291795108223,0.0485715622461443,0.020157617264678004
2018-08,23,0.0713359680901074,0.0485715622461443,0.022764405843963095
2018-08,25,0.0728377286334317,0.0485715622461443,0.024266166387287402
2018-08,27,0.0730595728733174,0.0485715622461443,0.024488010627173096
2018-08,30,0.0729599928559322,0.0485715622461443,0.024388430609787903
