previous_month,current_month,features_compared,mean_ks,max_ks,mean_psi,max_psi,mean_js,max_js,late_rate_pct,late_rate_delta_pp
2017-01,2017-02,13,0.04789892503141144,0.08682879612825156,0.0745745453605985,0.23517514729940855,0.09376416328347169,0.20173099250100768,2.9643073200241985,0.030973986690865374
2017-02,2017-03,13,0.024361995689568358,0.051019855351193244,0.008733637667508483,0.015992216888518894,0.03284672062483364,0.053662421602143316,4.556166535742341,1.5918592157181428
2017-03,2017-04,13,0.02105850369173014,0.031169255989404232,0.007435845924341067,0.018787752043862894,0.030635290554507758,0.05807354789457973,6.556665219279201,2.0004986835368594
2017-04,2017-05,13,0.03293860657243304,0.07046527280599842,0.0770228524777669,0.4273780545576556,0.07308739807320197,0.27045608704931856,2.9901269393511987,-3.566538279928002
2017-05,2017-06,13,0.020960540461691088,0.036538197654670035,0.009968543615806787,0.044810737348717836,0.030857145854757132,0.08849247564482471,3.0303030303030303,0.04017609095183161
2017-06,2017-07,13,0.019652566333188345,0.03403381905176173,0.005762511763119118,0.014522092222433461,0.025711857295555047,0.051136623410255044,2.7892561983471076,-0.2410468319559227
2017-07,2017-08,13,0.016844539016909608,0.028856942306441424,0.005315373557949423,0.013576527357271233,0.02509874850438324,0.049436797915632776,2.9096112568566657,0.12035505850955808
2017-08,2017-09,13,0.029391176034376538,0.06085817153661155,0.006507151229327726,0.016050844921675012,0.02841155522291957,0.053772331419573695,4.385542168674699,1.4759309118180335
2017-09,2017-10,13,0.018263854883580767,0.03631870940663051,0.005645209947212016,0.015768537190945144,0.02554033154343799,0.05329442376872034,4.17597141581063,-0.20957075286406912
2017-10,2017-11,13,0.01973573827322539,0.036919181420669134,0.005500484322270601,0.013927938432919207,0.02565697537512973,0.050086506286292874,12.403951701427003,8.227980285616372
2017-11,2017-12,13,0.03360114032894146,0.06067506739384376,0.007889556377135067,0.0149867563374384,0.032784986343122755,0.05194570513077582,7.455106112824233,-4.94884558860277
2017-12,2018-01,13,0.02316412687529227,0.03824091807640351,0.0059248747832692785,0.013481276689579203,0.026793357606480543,0.04927104215528578,5.7009478002546325,-1.7541583125696008
2018-01,2018-02,13,0.017883577696639737,0.027259705168374615,0.0038609724881740032,0.010499531747174688,0.021433711528540424,0.04348336414940517,14.126620900076277,8.425673099821644
2018-02,2018-03,13,0.06693084796166485,0.22449282660052094,0.07168943328748292,0.3256059215258914,0.07306572305135704,0.2398602277005037,18.96330144223904,4.836680542162762
2018-03,2018-04,13,0.025513693036211118,0.0482831780957827,0.01012095085681833,0.03267692038168671,0.03336781299062076,0.07661977953214437,4.501323918799647,-14.461977523439392
2018-04,2018-05,13,0.02477701023763943,0.06687523820446784,0.007547809185563946,0.025045609900930937,0.029053399634430342,0.06710029077685087,6.563935397836716,2.062611479037069
2018-05,2018-06,13,0.04371181153517234,0.1272458367507736,0.02381984908330679,0.09774623413686227,0.04536706959585016,0.13209417661241304,1.1646981627296589,-5.399237235107058
2018-06,2018-07,13,0.01656519135625366,0.030585997656725705,0.004442520373190133,0.011976147151713447,0.02385805140840023,0.046430484876385895,3.378817413905133,2.2141192511754744
2018-07,2018-08,13,0.03270016335095189,0.07294172948773553,0.00925484671327436,0.029785496955591316,0.03117062669632829,0.07316659557110329,6.188001889466226,2.809184475561093
