window_days,task_orders,full_support_orders,incomplete_left_history_orders,full_support_pct,incomplete_left_history_pct,first_full_support_prediction_time,dataset_purchase_start
30,96470,96421,49,99.9492070073598,0.05079299264019903,2016-10-04 21:25:32,2016-09-04 21:15:19
60,96470,96204,266,99.72426661138178,0.2757333886182233,2016-12-23 23:16:47,2016-09-04 21:15:19
90,96470,96204,266,99.72426661138178,0.2757333886182233,2016-12-23 23:16:47,2016-09-04 21:15:19
