channel,current_month,train_orders,test_orders,raw_k90_train,smooth_k90_train,k90_delta_smooth_minus_raw,raw_future_relative_error_k90,smooth_internal_future_error_k90,smooth_end_to_end_raw_error_k90,smooth_test_distortion_from_raw,end_to_end_error_delta_smooth_minus_raw,end_to_end_error_ratio_smooth_over_raw,smooth_lower_end_to_end_error,raw_basis_mean_angle_deg,smooth_basis_mean_angle_deg,smooth_negative_cell_pct_test
purchase_freight,2017-04,5167,2303,9,5,-4,0.361910220828431,0.3321503184720245,0.3976977116635582,0.12077839521559829,0.03578749083512722,1.0988849962656702,False,48.44192507346574,41.104745614986804,0.0
purchase_freight,2017-05,7470,3545,10,6,-4,0.2953023830659003,0.2547505996606136,0.3229279540161965,0.10963474227488151,0.02762557095029622,1.0935501117988988,False,47.661381670508206,32.690209512168444,0.0
purchase_freight,2017-06,11015,3135,10,5,-5,0.36075476026597314,0.3202706334954726,0.405264803159496,0.13654486134960012,0.04451004289352284,1.1233803342212505,False,46.48886861531273,41.96141080111114,0.0
purchase_freight,2017-07,14150,3872,11,6,-5,0.4087739171857778,0.41037178855240475,0.4982872526128394,0.15388627725931192,0.08951333542706158,1.218980056367882,False,38.569574202462135,34.99332343190829,0.0
purchase_freight,2017-08,18022,4193,13,7,-6,0.254233852219293,0.2763684387823332,0.3549542640087271,0.11834301354713464,0.10072041178943408,1.396172307150333,False,35.467926631864486,48.86637261176454,0.0
purchase_freight,2017-09,22215,4150,12,7,-5,0.27950222510217243,0.31637475255099523,0.3701736065341209,0.11527573124241895,0.09067138143194847,1.324403075498964,False,33.48799821073308,38.49149580726886,0.0
purchase_freight,2017-10,26365,4478,11,7,-4,0.251142362791478,0.23005397842356964,0.2984755175279565,0.1004912648605516,0.04733315473647848,1.1884714080506558,False,35.79866588222919,28.414205255146666,0.0
purchase_freight,2017-11,30843,7288,11,6,-5,0.49075597408068333,0.5338201627702158,0.5885993305684326,0.13784436998354616,0.09784335648774928,1.199372726274063,False,62.54977159217636,61.75122063227927,0.0
purchase_freight,2017-12,38131,5513,8,6,-2,0.6725354633235099,0.6474951096432104,0.6884806049255402,0.1465573528826952,0.01594514160203031,1.0237089974753646,False,70.68973070469755,70.53094260538191,0.0
purchase_freight,2018-01,43644,7069,15,11,-4,0.24667204071102827,0.22461417767445613,0.30359146971438244,0.1108035311401038,0.05691942900335417,1.2307494146449869,False,35.39385725438886,36.86487176411007,0.0
