channel,current_month,train_orders,test_orders,train_first_month,train_last_month,window_days,smooth_edf_ratio,smooth_lambda,raw_k80_train,raw_k90_train,raw_k95_train,raw_train_relative_error_k90,raw_future_relative_error_k90,raw_future_error_inflation_k90,raw_pc1_energy_pct_train,raw_basis_angle_dimension,raw_basis_mean_angle_deg,raw_basis_max_angle_deg,smooth_k80_train,smooth_k90_train,smooth_k95_train,smooth_train_relative_error_k90,smooth_internal_future_error_k90,smooth_internal_error_inflation_k90,smooth_end_to_end_raw_error_k90,smooth_test_distortion_from_raw,smooth_pc1_energy_pct_train,smooth_basis_angle_dimension,smooth_basis_mean_angle_deg,smooth_basis_max_angle_deg,smooth_negative_cells_test,smooth_negative_cell_pct_test,smooth_affected_orders_test,k90_delta_smooth_minus_raw,end_to_end_error_delta_smooth_minus_raw,end_to_end_error_ratio_smooth_over_raw,smooth_lower_end_to_end_error
purchase_volume,2017-04,5167,2303,2016-10,2017-03,30,0.75,0.0840662845049379,3,8,15,0.30873346323163836,0.3421960531257288,1.1083866631877994,67.57810797066195,8,46.91513700527341,88.77239442244588,2,5,9,0.2914684863970962,0.32025537618613115,1.0987650162282578,0.37268659417203787,0.10665653862861725,71.20040937017548,5,37.76930808213924,87.11777558927672,0,0.0,0,-3,0.03049054104630905,1.0891025503298435,False
purchase_volume,2017-05,7470,3545,2016-10,2017-04,30,0.75,0.0840662845049379,4,9,16,0.3065716100424642,0.2679583646399413,0.8740482023199264,66.20516161299682,9,37.68641411980113,88.39850506101327,3,5,10,0.30846451882102094,0.2538986885396034,0.8231050025138287,0.31172886266620836,0.0986098865412263,70.00356045842729,5,28.30600113457435,71.34068415860975,0,0.0,0,-4,0.043770498026267035,1.1633481309123601,False
purchase_volume,2017-06,11015,3135,2016-10,2017-05,30,0.75,0.0840662845049379,3,8,16,0.30730378158134425,0.33018772128502827,1.0744668340426087,68.23127424960904,8,42.13146480115298,88.28676122926045,3,5,9,0.29683338204214266,0.285014504315265,0.9601834616929988,0.35873852617229374,0.11283563767708941,72.16447182036903,5,43.55075747598651,89.65664447315396,0,0.0,0,-3,0.02855080488726547,1.0864684028108347,False
purchase_volume,2017-07,14150,3872,2016-10,2017-06,30,0.75,0.0840662845049379,4,8,16,0.3151339012891174,0.4076447078812427,1.2935603126597666,68.50765013151162,8,33.16656029100777,85.04766385498016,3,5,9,0.30065790351532207,0.37767496530876643,1.2561617735404698,0.45944075436600307,0.13406971553552946,72.91364803235082,5,25.398253905298294,80.03333104496653,0,0.0,0,-3,0.05179604648476038,1.1270617414708346,False
purchase_volume,2017-08,18022,4193,2016-10,2017-07,30,0.75,0.0840662845049379,4,10,17,0.3110775549877471,0.2173906572543945,0.6988310592288062,64.04655261713991,10,36.912638867474854,89.42920183160193,3,6,11,0.3093887899925154,0.2391120822360911,0.7728530896089532,0.30249065138592457,0.09621361682557034,68.98409281424782,6,46.223862362098565,88.8341134350323,0,0.0,0,-4,0.08509999413153008,1.3914611382399222,False
purchase_volume,2017-09,22215,4150,2016-10,2017-08,30,0.75,0.0840662845049379,4,9,16,0.305110911541855,0.330396543138634,1.0828735736424502,66.16459694190317,9,35.62200193650421,87.25036441576124,3,5,10,0.31194730140785143,0.33322162347003803,1.0681984487962335,0.3776461241001754,0.10019649324077179,70.9490743632237,5,40.294655006081854,82.61229119690273,0,0.0,0,-4,0.047249580961541415,1.1430087025508482,False
purchase_volume,2017-10,26365,4478,2016-10,2017-09,30,0.75,0.0840662845049379,4,9,15,0.29863531055286807,0.2524499172480122,0.8453451696004998,65.42411771610963,9,30.213178552912122,89.53428943534992,3,6,10,0.2932568172750635,0.2441556196292186,0.8325658782561571,0.3121433899788489,0.10662049720976198,69.98999008290025,6,38.25675163468535,85.29607153172013,0,0.0,0,-3,0.059693472730836694,1.23645669359516,False
purchase_volume,2017-11,30843,7288,2016-10,2017-10,30,0.75,0.0840662845049379,3,8,15,0.31197687573268823,0.5701323522724918,1.8274827290757263,64.92342807934601,5,62.025445113853024,89.50060689376376,3,5,10,0.30901274819900204,0.5806059537475395,1.8789061523559973,0.6298178570769994,0.14129462065124607,69.44595519164109,4,62.40763712163518,89.9271584301602,0,0.0,0,-3,0.05968550480450763,1.1046871039094819,False
purchase_volume,2017-12,38131,5513,2016-10,2017-11,30,0.75,0.0840662845049379,5,7,10,0.3124960098112773,0.6819734402196592,2.1823428741746715,51.3071778066561,7,73.08041795856602,89.53411701328912,3,6,8,0.28650052590278186,0.643674469775456,2.246678143948238,0.6843054546269577,0.14541611420578818,56.30757101867254,6,71.04729686338493,89.91881855346588,0,0.0,0,-1,0.002332014407298466,1.0034195091330058,False
purchase_volume,2018-01,43644,7069,2016-10,2017-12,30,0.75,0.0840662845049379,9,15,20,0.3037697269345898,0.23092044653245905,0.7601825529578947,42.29453298090287,9,39.89088979431295,87.66067640758958,6,11,15,0.2923410996449299,0.21020777346493996,0.7190496776548115,0.27745300525706107,0.09931927923028032,46.75158300723539,6,50.41548602181289,86.1088615423244,0,0.0,0,-4,0.04653255872460202,1.2015090453155746,False
