current_month,historical_orders,current_orders,features_compared,mean_ks,max_ks,mean_psi,max_psi,mean_js,max_js,mean_norm_wasserstein,max_norm_wasserstein,historical_late_rate_pct,current_late_rate_pct,target_delta_pp,target_rate_ratio
2017-02,1017,1653,13,0.04308865714515941,0.06405623457484111,0.06139648725935774,0.18981281989725157,0.08519074585287295,0.17898788595202525,0.16307655184567674,0.21616090024628173,2.4582104228121926,2.9643073200241985,0.5060968972120059,1.205880217785844
2017-03,2670,2546,13,0.025610314437909176,0.05646574931375059,0.01306780188606463,0.04173451418214176,0.03837954324696908,0.08627988385973927,0.08321691988414565,0.10903063317480136,2.7715355805243447,4.556166535742341,1.7846309552179966,1.6439141419502772
2017-04,5216,2303,13,0.01891585871845347,0.03010685249168199,0.01024071658169161,0.025377507775751613,0.035486671161822685,0.0675388705700256,0.0696848921323955,0.08321574253974819,3.642638036809816,6.556665219279201,2.914027182469385,1.7999771465137007
2017-05,7519,3545,13,0.026774267981170073,0.05682488237133535,0.056170500476997315,0.3507286821688081,0.06634095359298998,0.2462161543281623,0.09942202772316916,0.1547717785059841,4.535177550206145,2.9901269393511987,-1.545050610854946,0.6593186057765883
2017-06,11064,3135,13,0.024974451852520126,0.05022141727815893,0.06525340724872283,0.36060100549136814,0.06466958406222514,0.2418235761592965,0.09772627195336038,0.1277771329280006,4.040130151843818,3.0303030303030303,-1.0098271215407877,0.7500508440105755
2017-07,14199,3872,13,0.027263086865755754,0.046190014399803525,0.041184337580763515,0.19201329609282483,0.05995419447431209,0.18011800484639562,0.1453718551971041,0.1949367220121287,3.8171702232551588,2.7892561983471076,-1.0279140249080512,0.7307130767588668
2017-08,18071,4193,13,0.02627082810340669,0.05563530755010221,0.027461220622888468,0.13943032369344877,0.0474904246539657,0.15377513048338637,0.07921668640045637,0.09031948708146521,3.596923247191633,2.9096112568566657,-0.6873119903349671,0.8089166926562585
2017-09,22264,4150,13,0.030668659879574695,0.056877859984674595,0.019967043599953233,0.09195771779777766,0.04426285251950663,0.12688388973700981,0.10761729713499117,0.13003727974146348,3.467481135465325,4.385542168674699,0.9180610332093742,1.2647630938260817
2017-10,26414,4478,13,0.020199193036502725,0.03345414867053362,0.017669654405428673,0.09667856303945122,0.03827671610788681,0.129909478440844,0.09201325990127227,0.12785751219273125,3.6117210570152194,4.17597141581063,0.5642503587954106,1.1562275574132284
2017-11,30892,7288,13,0.016467033911203615,0.027155617254006142,0.014662539905451528,0.05921402796592217,0.038071329152056514,0.10235957029576362,0.05923016155642364,0.08314535750607845,3.693512883594458,12.403951701427003,8.710438817832545,3.358307414202305
2017-12,38180,5513,13,0.029702112370222796,0.04703176462662606,0.014702263977310908,0.03726391148363255,0.04273881778998972,0.08176782227424638,0.09451241814139287,0.10646904420806716,5.35620743844945,7.455106112824233,2.0988986743747837,1.3918628429712923
2018-01,43693,7069,13,0.018341551062111064,0.03501994848461981,0.00951181353065117,0.030807700866949766,0.03328479656312854,0.07439461204966427,0.06440779061881653,0.0798195859510579,5.621037694825258,5.7009478002546325,0.07991010542937449,1.0142162550347136
2018-02,50762,6555,13,0.02401361774977442,0.049811403576391355,0.0083376464922676,0.031853867921243374,0.031064122294595042,0.07556884699412036,0.09551611317847426,0.12413346151578733,5.632165793309956,14.126620900076277,8.49445510676632,2.508204022839007
2018-03,57317,7003,13,0.05806208448304637,0.1998229626257818,0.06966314095327314,0.3296328876518577,0.06947123819562047,0.24113930302286968,0.12408336738394549,0.29113039478585295,6.603625451436747,18.96330144223904,12.359675990802293,2.8716500627868298
2018-04,64320,6798,13,0.05950888021194862,0.1872034218800086,0.06566966994897681,0.28909717856896755,0.0677248612121615,0.22611070692126198,0.14717355309747954,0.31193787705967513,7.94931592039801,4.501323918799647,-3.4479920015983625,0.5662529913107633
2018-05,71118,6749,13,0.04527749091931555,0.11527253912368363,0.05689394254442917,0.24064344136112395,0.06530208241821536,0.20568770244789278,0.12519204828323194,0.2494661585354676,7.6197305885992295,6.563935397836716,-1.0557951907625132,0.8614393017592759
2018-06,77867,6096,13,0.0637444381607468,0.21139850878712468,0.06017547807053241,0.28908973277471134,0.06601097742297281,0.22531612718902844,0.17676430174046132,0.44965886899351615,7.528221197683229,1.1646981627296589,-6.3635230349535705,0.1547109379687314
2018-07,83963,6156,13,0.061945331538234935,0.21303231999286298,0.06278018685280248,0.2800985738656835,0.06590214450736195,0.2213329260325112,0.17895824588099965,0.4682117436136905,7.066207734359182,3.378817413905133,-3.687390320454049,0.47816559333173214
2018-08,90119,6351,13,0.04071128212869356,0.12758265711928418,0.0463907935533668,0.23214913655685165,0.056565570539489525,0.2020172317918046,0.09464319889620988,0.20384780194028732,6.814323283658274,6.188001889466226,-0.6263213941920478,0.9080875138850462
