channel,window_days,temporal_tests,first_test_month,last_test_month,k90_median,k90_min,k90_max,future_error_k90_mean,future_error_k90_median,future_error_k90_p95,future_error_inflation_k90_mean,future_error_inflation_k90_max,basis_mean_angle_deg_mean,basis_max_angle_deg_max,train_pc1_energy_pct_mean,test_pc1_energy_pct_mean
purchase_freight,30,17,2017-04,2018-08,13.0,8,15,0.31000395822980054,0.27950222510217243,0.5271118719292485,1.0158063981593861,2.3559693078636625,39.40972251580197,89.8556865886729,55.68908858906235,26.8034323687315
purchase_freight,60,16,2017-05,2018-08,19.0,10,28,0.3474731774183474,0.2879499585680311,0.6474752443508487,1.1163158577054741,2.2915121841779174,52.816043534824104,89.99399270149489,53.537298520578055,24.467389910587805
purchase_freight,90,16,2017-05,2018-08,20.0,11,39,0.37340240803466573,0.33124712422581215,0.6921822584809134,1.1974281839441308,2.2993155917776553,58.65850359984411,89.99492079143444,55.22964159023478,23.57547595841299
purchase_volume,30,17,2017-04,2018-08,10.0,7,15,0.3055432295575605,0.2679583646399413,0.5925005698619252,0.9918035253940033,2.182342874174672,38.83405481398702,89.53428943534992,56.19807697624544,28.81188480845978
purchase_volume,60,16,2017-05,2018-08,16.0,9,27,0.3416742928712505,0.2942887238151658,0.658193939268588,1.1005186072204243,2.491716843090245,52.776143647477774,89.9351086792471,53.92322847765642,26.0987093192672
purchase_volume,90,16,2017-05,2018-08,16.5,10,38,0.36770320035327764,0.31467256841633073,0.7183892183966878,1.1767875540695947,2.3481101818962364,58.86805412661821,89.99276444867051,55.70162368854922,25.081196032978198
