test_month,fit_cutoff,k,functional_dimensions,total_model_dimensions,train_rows,train_positive,train_positive_pct,test_rows,test_positive,test_prevalence,average_precision,ap_lift_over_prevalence,roc_auc,log_loss,brier_score,recall_at_05pct,recall_at_10pct,recall_at_20pct,convergence_warning,n_iter,coef_finite,baseline_k0_average_precision,delta_ap_vs_k0,comparison_vs_k0
2017-04,2017-04-01,0,0,13,4234,53,1.2517713745866794,2303,151,0.065566652192792,0.0628638868894198,0.9587783543465828,0.4499772274058938,0.3135703477696901,0.0641832364602519,0.0529801324503311,0.1059602649006622,0.1788079470198675,0,12,True,0.0628638868894198,0.0,TIE
2017-04,2017-04-01,1,2,15,4234,53,1.2517713745866794,2303,151,0.065566652192792,0.0788628530742527,1.2027890770198943,0.4613512149486694,0.3446374022255148,0.0646996283113752,0.086092715231788,0.1258278145695364,0.1788079470198675,0,13,True,0.0628638868894198,0.015998966184832902,BETTER
2017-04,2017-04-01,2,4,17,4234,53,1.2517713745866794,2303,151,0.065566652192792,0.0814916010060292,1.242881835211161,0.4679768088825426,0.3433769353052375,0.0646855399886213,0.086092715231788,0.1324503311258278,0.1920529801324503,0,15,True,0.0628638868894198,0.018627714116609406,BETTER
2017-04,2017-04-01,3,6,19,4234,53,1.2517713745866794,2303,151,0.065566652192792,0.0574476764247301,0.8761721775241962,0.4684568797853221,0.3711071278825419,0.0649886826729871,0.0264900662251655,0.0463576158940397,0.1059602649006622,0,21,True,0.0628638868894198,-0.005416210464689694,WORSE
2017-04,2017-04-01,4,8,21,4234,53,1.2517713745866794,2303,151,0.065566652192792,0.0577856182889731,0.8813263504602986,0.4705033358772988,0.3739834270188934,0.0650161940981912,0.0198675496688741,0.0463576158940397,0.1125827814569536,0,21,True,0.0628638868894198,-0.005078268600446696,WORSE
2017-04,2017-04-01,5,10,23,4234,53,1.2517713745866794,2303,151,0.065566652192792,0.0601302668860596,0.917086123434406,0.4862687412294739,0.3730504768331346,0.0649920894988076,0.0397350993377483,0.0529801324503311,0.0927152317880794,0,22,True,0.0628638868894198,-0.002733620003360193,WORSE
2017-04,2017-04-01,6,12,25,4234,53,1.2517713745866794,2303,151,0.065566652192792,0.0621305479446302,0.9475937213012148,0.4935867451192792,0.3792021143000727,0.0650114702549361,0.0397350993377483,0.0529801324503311,0.1456953642384106,0,19,True,0.0628638868894198,-0.0007333389447895938,WORSE
2017-04,2017-04-01,10,20,33,4234,53,1.2517713745866794,2303,151,0.065566652192792,0.0625805874779211,0.9544575692824666,0.4938483222137423,0.401373549914,0.0651612512899061,0.0264900662251655,0.0794701986754966,0.1788079470198675,0,21,True,0.0628638868894198,-0.000283299411498697,WORSE
2017-04,2017-04-01,15,30,43,4234,53,1.2517713745866794,2303,151,0.065566652192792,0.0594233605522337,0.9063046314688368,0.4679552672394692,0.4390506473377701,0.0652717322932891,0.0264900662251655,0.0662251655629139,0.1854304635761589,0,22,True,0.0628638868894198,-0.003440526337186098,WORSE
2017-04,2017-04-01,20,40,53,4234,53,1.2517713745866794,2303,151,0.065566652192792,0.0590863456510277,0.9011645962537548,0.4604618528274945,0.4601013837475768,0.06532864573685,0.0264900662251655,0.0794701986754966,0.1788079470198675,0,22,True,0.0628638868894198,-0.003777541238392093,WORSE
