channel,window_days,orders_full_support,edf_ratio_target,lambda,effective_df,effective_df_ratio,distortion_relative_to_centered_raw,roughness_ratio,roughness_reduction_pct,max_row_sum_relative_error,max_first_moment_relative_error,negative_cells,negative_cell_pct,minimum_smoothed_value,adjacent_lag_correlation_mean,numerical_rank,pc1_energy_pct,k80,k90,k95,k99,relative_error_k90
purchase_volume,30,96421,1.0,0.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.7770493359712373,30,47.65703645788652,7,13,18,27,0.2973669162066605
purchase_volume,30,96421,0.75,0.08406628450493797,22.5,0.75,0.12747376227173723,0.6297016024500485,37.02983975499515,6.234753739660176e-16,5.329070518200751e-16,7453,0.2576547985743078,-1.0964494524020976,0.8654172405352021,30,51.618195062115255,6,9,13,20,0.30521041327823256
purchase_volume,30,96421,0.5,0.489610051353089,14.999999999999998,0.49999999999999994,0.2641236867027719,0.31760412566629936,68.23958743337006,5.880353675256001e-16,4.98626481235158e-16,7201,0.24894300342594802,-2.159662719794962,0.9321968877427741,30,56.68027654744,4,7,9,13,0.2866230135674411
purchase_volume,30,96421,0.25,8.082724730027447,7.499999999999987,0.24999999999999956,0.4503942851527244,0.07287340450643026,92.71265954935697,2.1402393264452953e-15,7.401486830834377e-15,5420,0.18737273692107181,-2.5365260318970533,0.9846537641688419,30,66.1924507635068,2,4,5,7,0.24812339185962226
purchase_volume,60,96204,1.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.7908393071368766,60,43.979113580677215,12,23,34,52,0.30731354359987295
purchase_volume,60,96204,0.75,0.0796644862161485,45.0,0.75,0.12159967561172168,0.6396409016021299,36.035909839787,6.20815496090736e-16,4.440892098500626e-16,27338,0.4736116308400205,-1.0791035305299321,0.8729207019732782,60,47.39512865258517,8,16,24,39,0.30989493251433253
purchase_volume,60,96204,0.5,0.4436081877127176,30.0,0.5,0.2521221265950096,0.332845168998798,66.7154831001202,6.294080981127531e-16,5.244059399036681e-16,30073,0.5209935830803986,-1.4348453201199494,0.9352566513883015,60,51.726934575496045,6,11,16,26,0.31015481524137484
purchase_volume,60,96204,0.25,6.214243690235012,15.000000000000002,0.25000000000000006,0.43074660942369075,0.08468455375087659,91.53154462491234,1.2753331154668465e-15,2.812564995717063e-15,29008,0.5025432067966682,-1.4999867051687563,0.9850777658496572,60,59.694134416147136,3,6,9,14,0.2994299904002057
purchase_volume,90,96204,1.0,0.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.800696177807826,90,45.13760916755301,15,31,49,77,0.31600506062255673
purchase_volume,90,96204,0.75,0.07828642764753907,67.5,0.75,0.11828254461289404,0.6419220462383735,35.80779537616265,4.989000009725333e-16,4.841869246265159e-16,59873,0.6915050887234996,-1.642690248506539,0.8793093981517346,90,48.4652231959175,10,22,34,57,0.31424244828426745
purchase_volume,90,96204,0.5,0.42975651743751475,45.000000000000014,0.5000000000000001,0.24504821317754039,0.3361665577994166,66.38334422005833,7.384509909858344e-16,8.151648448795256e-16,68034,0.7857608138261749,-2.1130752314163685,0.9387056640282554,90,52.620250909129695,8,15,22,37,0.3109917607181464
purchase_volume,90,96204,0.25,5.722443537177487,22.499999999999975,0.24999999999999972,0.41714873689836357,0.08850679878005237,91.14932012199476,1.2117171556872586e-15,1.480042786719142e-15,81036,0.9359278200490624,-1.9315103792513222,0.9857431656168202,90,60.13770165949237,4,8,12,21,0.29566590664934245
purchase_freight,30,96421,1.0,0.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.7761909957394972,30,49.729468439295715,7,13,18,27,0.30007564289248345
purchase_freight,30,96421,0.75,0.08406628450493797,22.5,0.75,0.13014168253770983,0.6221252882812536,37.78747117187464,7.804734210495165e-16,6.451010936918237e-16,7524,0.2601093122867425,-26.102363169139416,0.8682094099340859,30,53.929526090850324,5,9,13,20,0.3002939022295207
