previous_month,current_month,previous_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,previous_median,current_median,median_delta,reference_iqr,robust_median_shift,rank_ks,rank_psi,rank_js,rank_robust_shift,consensus_rank_score
2018-02,2018-03,6555,7003,ADEQUATE,max_freight,0.22328471409169415,0.3256059215258914,0.2398602277005037,15.79,18.14,2.3500000000000014,5.620000000000001,0.41814946619217097,2.0,3.0,3.0,1.0,2.25
2018-02,2018-03,6555,7003,ADEQUATE,mean_freight,0.22449282660052094,0.3248598070000126,0.23949683999146346,15.76,18.0,2.24,5.52,0.40579710144927544,1.0,4.0,4.0,2.0,2.75
2018-02,2018-03,6555,7003,ADEQUATE,total_freight,0.1965911525549746,0.20933929307628504,0.19250958084163305,16.25,18.23,1.9800000000000004,8.380000000000003,0.23627684964200474,3.0,7.0,7.0,3.0,5.0
2017-01,2017-02,750,1653,ADEQUATE,total_freight,0.07945311554748946,0.23517514729940855,0.20173099250100768,18.0,17.2,-0.8000000000000007,7.577500000000004,0.1055757175849555,10.0,5.0,5.0,9.0,7.25
2018-05,2018-06,6749,6096,ADEQUATE,max_freight,0.12670599785561693,0.09774623413686227,0.13209417661241304,16.41,18.37,1.9600000000000009,10.229999999999999,0.19159335288367557,5.0,10.0,10.0,6.0,7.75
2018-05,2018-06,6749,6096,ADEQUATE,mean_freight,0.1272458367507736,0.07813611595759135,0.11816923687791736,16.32,18.35,2.030000000000001,10.219999999999999,0.1986301369863015,4.0,12.0,12.0,5.0,8.25
2018-05,2018-06,6749,6096,ADEQUATE,freight_price_ratio,0.08893693884463877,0.048239100023993106,0.09291705934762415,0.2023558173130348,0.24178708993928621,0.0394312726262514,0.2512280972200812,0.156954071071552,7.0,18.0,18.0,8.0,12.75
2018-05,2018-06,6749,6096,ADEQUATE,total_freight,0.11883091263836498,0.06598537641739698,0.10871663028207548,17.99,18.79,0.8000000000000007,10.73,0.07455731593662634,6.0,15.0,15.0,16.0,13.0
2017-01,2017-02,750,1653,ADEQUATE,max_price,0.049059891107078035,0.07487668052952866,0.11560271016181282,69.9,76.9,7.0,112.275,0.06234691605433088,30.0,13.0,13.0,23.0,19.75
2018-04,2018-05,6798,6749,ADEQUATE,max_freight,0.06687523820446784,0.025045609900930937,0.06710029077685087,18.23,16.41,-1.8200000000000003,9.8375,0.1850063532401525,17.0,28.0,28.0,7.0,20.0
