channel,window_days,orders,mean,median,p05,p95,p99,max,zero_orders,zero_pct
purchase_volume,30,96470,5599.163024774542,5886.0,2340.45,8019.550000000003,8581.0,8686.0,1,0.001036591686534674
purchase_freight,30,96470,127941.94465906573,143363.81499997253,49786.17499999814,186105.5299999736,197664.69240002648,200668.1200000276,1,0.001036591686534674
purchase_volume,60,96470,10850.415911682388,12446.0,4373.0,14398.0,14613.0,14775.0,1,0.001036591686534674
purchase_freight,60,96470,246727.12558152783,283391.7050000467,94980.17000000109,336126.7744999899,341967.9134000314,344605.99000002374,1,0.001036591686534674
purchase_volume,90,96470,15864.404592101171,18713.0,4854.45,21439.0,21963.0,22094.0,0,0.0
purchase_freight,90,96470,358460.5253452879,418127.7400001368,104896.5020000011,487412.24100001843,507160.60699997935,510425.94999996247,0,0.0
