channel,pve_policy,mean_k,mean_dimension_retained_pct,mean_future_error,previous_policy,added_mean_components,future_error_reduction,error_reduction_per_added_component
purchase_freight,0.8,6.0588235294117645,20.19607843137255,0.4150483224481859,,,,
purchase_freight,0.85,8.411764705882353,28.039215686274513,0.3651059219963732,0.8,2.3529411764705888,0.049942400451812696,0.02122552019202039
purchase_freight,0.9,12.058823529411764,40.19607843137255,0.3100039582298001,0.85,3.6470588235294112,0.055101963766573114,0.01510860296825392
purchase_freight,0.95,17.941176470588236,59.80392156862745,0.2390369903036323,0.9,5.882352941176471,0.0709669679261678,0.012064384547448525
purchase_freight,0.99,26.88235294117647,89.6078431372549,0.1102799251547818,0.95,8.941176470588236,0.1287570651488505,0.014400461233753015
purchase_volume,0.8,5.764705882352941,19.215686274509803,0.4159208421357735,,,,
purchase_volume,0.85,7.705882352941177,25.686274509803923,0.3594776658139546,0.8,1.9411764705882355,0.05644317632181889,0.02907678780214912
purchase_volume,0.9,10.882352941176473,36.274509803921575,0.3055432295575605,0.85,3.176470588235296,0.0539344362563941,0.01697935956219813
purchase_volume,0.95,16.764705882352942,55.88235294117647,0.232391753745144,0.9,5.882352941176469,0.07315147581241652,0.012435750888110811
purchase_volume,0.99,26.176470588235293,87.25490196078431,0.1124765928775914,0.95,9.411764705882351,0.1199151608675526,0.012740985842177466
