channel,scheme,holdout_width,k,folds_observed,folds_expected,complete_fold_coverage,temporal_months,pooled_relative_error,mean_fold_relative_error,median_fold_relative_error,p95_fold_relative_error,sd_fold_relative_error,se_fold_relative_error
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,0,170,170,True,17,1.0,1.0,1.0,1.0,0.0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,1,170,170,True,17,0.7779617194962439,0.7091514578391356,0.6479623605962963,1.0534347467199754,0.22702573232700715,0.017412078826224912
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,2,170,170,True,17,0.7499496156026122,0.6765479410825606,0.6108577275989266,1.0150714475827358,0.21506579512447052,0.01649479351590904
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,3,170,170,True,17,0.7353276321236116,0.6526483575173861,0.6012644400368177,0.956966268013863,0.22449564317133608,0.017218029846118702
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,4,170,170,True,17,0.715627298851968,0.6264621509062044,0.5810647108976132,0.9245615114306521,0.19818968658364852,0.015200455076029183
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,5,170,170,True,17,0.7048536691442727,0.6102940709811281,0.5792563808051807,0.8768864117181714,0.19121036765722585,0.014665165749772582
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,6,170,170,True,17,0.6871037118408925,0.5907436992191499,0.5652379320737304,0.8623201604517182,0.19031463849924576,0.014596466459406536
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,7,170,170,True,17,0.7298646926826794,0.6012105068949732,0.5569330683398436,0.8458712514737687,0.33882520637837743,0.02598670706312002
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,8,170,170,True,17,0.7757372904833962,0.6096412471491488,0.5486871052711897,0.8740773138751325,0.41833266534847047,0.032084650801348036
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,9,170,170,True,17,0.7802517380060885,0.6111559636789283,0.5558471872302642,0.8870251735643022,0.429301074918644,0.032925889413714195
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,10,170,170,True,17,0.7837896471393332,0.6105493159417895,0.5406758173031622,0.8922346790577333,0.4460734063231743,0.03421226851057619
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,11,170,170,True,17,0.7868489261905203,0.6099823776536485,0.5259979757200582,0.9053316754260142,0.4623721666468768,0.03546232636356564
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,12,170,170,True,17,0.7745858925775546,0.6024940690220462,0.5170581477508573,0.8907142130389706,0.45742849599630986,0.03508316413302792
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,13,170,170,True,17,0.7938704427613613,0.6029922424815067,0.5092195437948905,0.8830743529276311,0.49861053876557887,0.03824168263035235
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,14,170,170,True,17,0.7953982915998968,0.5998113634576248,0.49858049114313785,0.884669076809728,0.506805862288203,0.038870235251765355
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,15,170,170,True,17,0.791679662915645,0.5980009555436622,0.4967058315157289,0.8809361844792711,0.5045923961550746,0.03870047014895447
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,16,170,170,True,17,0.7927179348101705,0.5967159652557388,0.4960603859228807,0.8772908038446173,0.5105892115651438,0.03916040489536481
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,17,170,170,True,17,0.7927883899687113,0.5961953677155947,0.4971911783984905,0.8801612518814972,0.5152656638373815,0.03951907241184702
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,18,170,170,True,17,0.7891322720512726,0.596372712284683,0.4954437086707633,0.892308046241208,0.5138599286749018,0.03941125744652566
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,19,170,170,True,17,0.7883194033615273,0.5959386650305325,0.49555207897145415,0.8883048634153655,0.5143909808773686,0.03945198729117989
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,20,170,170,True,17,0.7881492294241331,0.5956681640275202,0.49619946342804133,0.8901030728212078,0.513953331661166,0.0394184211285575
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,21,170,170,True,17,0.7888991730809771,0.5965601544777311,0.49781824701802524,0.8904516601581682,0.5156641969561816,0.0395496385067486
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,22,170,170,True,17,0.7881137666863423,0.5969430184526546,0.49982216944825264,0.8910711682365319,0.5151781606696418,0.039512361225240065
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,23,170,170,True,17,0.7900316520665935,0.5977704952183861,0.4999127394584918,0.8912351239862489,0.5191818608263162,0.03981943100984126
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,24,170,170,True,17,0.7897963739419311,0.5978326374498698,0.4998200994213562,0.8865601920654808,0.5192047910700617,0.03982118967925511
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,25,170,170,True,17,0.7879927209412411,0.5972470278842533,0.4991074346945418,0.8842284748418382,0.5178941266085803,0.03972066630384684
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,26,170,170,True,17,0.7872466175397338,0.5979134533003635,0.5015619772282254,0.8825867196025176,0.5174752003404638,0.03968853612579146
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,27,170,170,True,17,0.786891079331498,0.5986162248199043,0.5031903054280312,0.8821973236508753,0.5180196148654369,0.03973029081379889
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,0,85,85,True,17,1.0,1.0,1.0,1.0,0.0,0.0
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,1,85,85,True,17,0.8128181116337503,0.7279815198244703,0.6494401382702114,1.0655325333042045,0.2458896109728844,0.026670472940599536
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,2,85,85,True,17,0.7847049323528289,0.6912894585368234,0.6209139577178723,1.1102706418877695,0.24647362401902226,0.026733818049334914
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,3,85,85,True,17,0.7707288918392198,0.6658154441891556,0.5939377315391627,1.0253513218089363,0.2591024121673454,0.028103602446690197
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,4,85,85,True,17,0.7705828193378573,0.6471127650860298,0.5771178628609175,0.9698058597918008,0.26427406667403636,0.028664547136598387
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,5,85,85,True,17,0.8400559208575163,0.6508274817156869,0.5821218466026303,0.9310609435237527,0.40372924417302974,0.04379058488661768
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,6,85,85,True,17,0.8398974931976425,0.6434258807397658,0.5740610787257737,0.9105796590801164,0.4159603868588093,0.04511723857785342
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,7,85,85,True,17,0.8401343444314612,0.6386941530136669,0.5691073558396326,0.9159573995082354,0.42012160182933755,0.04556858571217269
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,8,85,85,True,17,0.8447647959889736,0.6393051153976682,0.5634513373127792,0.9542324707416401,0.41810464404956277,0.045349815924888966
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,9,85,85,True,17,0.8570350323410293,0.6434973352607015,0.5585870314422439,0.9812829444106826,0.43793509057069196,0.04750072984617743
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,10,85,85,True,17,0.8741453573013802,0.6444200225439719,0.5538267394139051,0.9785217479998207,0.4696087110630815,0.05093621634327165
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,11,85,85,True,17,0.8843990941158446,0.6461744163991333,0.5457759049687916,0.9713204368329296,0.4949484073653818,0.053684692303193504
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,12,85,85,True,17,0.8808277383863501,0.6436757580963668,0.5391623387861088,0.9634234431014453,0.4934409940308227,0.05352119037079958
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,13,85,85,True,17,0.8836205347618957,0.643322775865832,0.5371779288292043,0.9608812083675564,0.5000067353488692,0.05423334500582092
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,14,85,85,True,17,0.8841515269077037,0.6421260080022387,0.5393089754605308,0.9541456364729325,0.5014478853828627,0.054389659674150714
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,15,85,85,True,17,0.8851496916464346,0.6415819128877522,0.535282491286245,0.9542512402765453,0.5049508040933568,0.05476960455393523
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,16,85,85,True,17,0.8844810311652976,0.641147064634155,0.5354252582891933,0.9409211467624634,0.5059662624347264,0.05487974647537977
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,17,85,85,True,17,0.8846244736900579,0.6413984281580377,0.5350209786489349,0.936052749309971,0.5080452854820259,0.05510524818611288
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,18,85,85,True,17,0.8848309754938904,0.6417974668218495,0.5357696445188487,0.9372828899499268,0.5092042634843092,0.055230957000431416
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,19,85,85,True,17,0.8848169498571581,0.6423869633090106,0.5360096494124904,0.9466467033238372,0.5095758062913133,0.055271256476042724
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,20,85,85,True,17,0.885176314125636,0.6429070970088526,0.5351052093689349,0.9500244485150389,0.5110520217261707,0.05543137452110402
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,21,85,85,True,17,0.8853455265413319,0.6434720149270391,0.5365401428120399,0.9507598268440758,0.5114294399445966,0.05547231127456013
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,22,85,85,True,17,0.8852659857423436,0.6437841130401778,0.5382081604983848,0.9506598289056136,0.5115695120663498,0.05548750422930991
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,23,85,85,True,17,0.8847128844099581,0.6443604972216651,0.5396584795284631,0.9511865872583932,0.5113315608981781,0.05546169480138492
purchase_freight,HOLDOUT_06_CONTIGUOUS,6,24,85,85,True,17,0.8846966426933562,0.6449513735954362,0.5389187263127143,0.9513763254408983,0.5115900946177603,0.05548973672046018
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,0,34,34,True,17,1.0,1.0,1.0,1.0,0.0,0.0
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,1,34,34,True,17,0.8741889705593169,0.7912523022256491,0.7313540957363924,1.155278336926358,0.24494261075237864,0.0420073111851452
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,2,34,34,True,17,0.8712003861878923,0.7749098169747687,0.7020588186400379,1.168351240849492,0.27278951655390277,0.04678301613070331
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,3,34,34,True,17,0.8741888381912682,0.7586628812763553,0.6853157920527622,1.1572544444017165,0.2958109505020009,0.050731159480753865
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,4,34,34,True,17,0.9260161174436489,0.7429544241612569,0.6745489995895382,1.266655591522426,0.26957492263317306,0.046231717821490464
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,5,34,34,True,17,0.9437878208280251,0.7457763889974656,0.6720601510904034,1.2911670738233592,0.2888346024642539,0.04953472566281854
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,6,34,34,True,17,0.9502504766571046,0.7452241933634359,0.6624491998683262,1.2844142650009678,0.2945869719962212,0.0505212488987678
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,7,34,34,True,17,0.9524704021431931,0.7444004926386845,0.6522245864180213,1.2849417007065216,0.298371692708165,0.051170323146025716
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,8,34,34,True,17,0.9558334338967349,0.7433798329771383,0.6447541449206828,1.2845758449622324,0.3015297175714645,0.05171191994192645
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,9,34,34,True,17,0.96124816717877,0.7444333028848517,0.643897432174381,1.2809211578274933,0.30378135538023787,0.052098072640384456
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,10,34,34,True,17,0.9628783781353714,0.7436155510082917,0.6432350501373545,1.2805253016354006,0.3044526621964629,0.05221320080956357
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,11,34,34,True,17,0.961466468970178,0.7435318285020251,0.6435766883193149,1.280287390337432,0.30447068370361624,0.0522162914725425
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,12,34,34,True,17,0.9613775536739213,0.7439977904995714,0.6441800404657765,1.27960455531737,0.3044846293460174,0.0522186831304832
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,13,34,34,True,17,0.9612671239753993,0.7448826322299344,0.6445785236015603,1.2795221635642173,0.30552245660778377,0.05239666903749846
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,14,34,34,True,17,0.9608383580811828,0.7451300740432898,0.6440585521983171,1.2786758294818856,0.305685131058666,0.052424567475663604
purchase_freight,HOLDOUT_15_CONTIGUOUS,15,15,34,34,True,17,0.9608484423772456,0.7454796271299206,0.6439277996862056,1.278850369851348,0.3063361596025165,0.05253621794982134
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,0,170,170,True,17,1.0,1.0,1.0,1.0,0.0,0.0
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,1,170,170,True,17,0.7980207195099599,0.7265766830498592,0.6522210507778841,1.1228595458341404,0.24224495523845488,0.018579339939279328
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,2,170,170,True,17,0.7677158233131057,0.6917961586630069,0.6190021765583715,1.0720675306093792,0.23580008042739484,0.018085040605520592
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,3,170,170,True,17,0.754026020007024,0.6666215323260187,0.6153737330763773,1.0588291953369908,0.2521750859738239,0.01934094620014985
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,4,170,170,True,17,0.7342552307998782,0.6349819517318365,0.5998133661895046,1.0073687824905713,0.22415178949840026,0.017191657473275865
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,5,170,170,True,17,0.7220912808923641,0.6154971046965766,0.5856681459322269,0.9261501280913118,0.21118536016076328,0.01619717774004277
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,6,170,170,True,17,0.7132043665102896,0.5992569134790532,0.5671568703388188,0.8986655885465876,0.21296904887120863,0.01633398041923416
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,7,170,170,True,17,0.7650483442302294,0.6018177239080862,0.5443549856952734,0.924800139342742,0.34294047129894994,0.026302333474511108
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,8,170,170,True,17,0.8025432355719159,0.6060777164051298,0.5371348329303329,0.9301371266387908,0.39097932183550743,0.02998674512111224
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,9,170,170,True,17,0.8174416198623263,0.6119293758186298,0.5322899866191375,0.9337512209688399,0.4250733299754963,0.03260163617839711
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,10,170,170,True,17,0.8146274469810153,0.6099362629535194,0.5266974033357029,0.9318694618172184,0.42815916460924575,0.03283830889094296
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,11,170,170,True,17,0.8094795938445637,0.6031597079898299,0.5118610222735482,0.9315125092553448,0.43253388477998533,0.03317383461163912
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,12,170,170,True,17,0.7995527116141186,0.5966717808876556,0.501191634642064,0.9535973658590216,0.4339914954558687,0.03328562824721639
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,13,170,170,True,17,0.8004760167983608,0.5939535497216362,0.4981911413720115,0.9726359808128741,0.4387035917851858,0.033647029538082636
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,14,170,170,True,17,0.8033056215036525,0.5883045316415783,0.4903011444535673,0.9512522450326029,0.44399850739818014,0.034053131027489435
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,15,170,170,True,17,0.80974456346677,0.586148397546063,0.4839033293319387,0.9444660856888535,0.4628389293966724,0.03549812543228477
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,16,170,170,True,17,0.8102557969615116,0.5852168643820028,0.4826580268523452,0.95184082450728,0.4635238940311813,0.035550659821611465
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,17,170,170,True,17,0.8105720088838815,0.5845641666945506,0.480922163667635,0.9619845925189343,0.4661095173316271,0.035748968076190456
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,18,170,170,True,17,0.8097603615398041,0.5839913234302834,0.47433342483357305,0.9654166354887477,0.46722066871776397,0.03583418949723808
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,19,170,170,True,17,0.8093530860327434,0.582993115094136,0.4715607423833924,0.9661234702974613,0.47083816795281863,0.036111639023284986
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,20,170,170,True,17,0.8073634450485871,0.581748393564228,0.4672986034404124,0.9562763156904257,0.47079107849771284,0.03610802742694398
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,21,170,170,True,17,0.8070929894283964,0.5815175791035567,0.46710260225683525,0.9475482071798564,0.47076550527624383,0.036106066050392106
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,22,170,170,True,17,0.8068687192136611,0.5818544588613002,0.4674680358187339,0.9481905676029169,0.47048313666112046,0.03608440936621721
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,23,170,170,True,17,0.8058426458316694,0.5821429614632098,0.4684561725637534,0.9500668821706163,0.4697516660172923,0.036028308128798626
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,24,170,170,True,17,0.8077253785606794,0.5837160840837883,0.4695218046497083,0.9563022590714788,0.4735048239407946,0.03631616220129276
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,25,170,170,True,17,0.8065540739521243,0.5834974543035715,0.4688708030692209,0.9509244853789439,0.47348579454072853,0.036314702712931815
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,26,170,170,True,17,0.807642263874003,0.5840967764000771,0.46778414651568345,0.9509711573812785,0.47466530247964384,0.036405166842253374
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,27,170,170,True,17,0.8073397852881817,0.5843473753330171,0.46803773331642273,0.9572109844474392,0.47547375267665537,0.036467172141886835
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,0,85,85,True,17,1.0,1.0,1.0,1.0,0.0,0.0
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,1,85,85,True,17,0.8321744382919749,0.7447702163046492,0.653684871866288,1.1743630261801146,0.2612456287897419,0.028336066928240707
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,2,85,85,True,17,0.800628660040117,0.7019276122436908,0.622943966792708,1.1840956934770133,0.2623215718419284,0.028452769337689518
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,3,85,85,True,17,0.785448550666791,0.674894051367302,0.6091839450311619,1.0607178185976651,0.2731706995052831,0.02962952245316181
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,4,85,85,True,17,0.7994048314694117,0.6538224995592358,0.5826222062110161,1.0103970609757547,0.28499286163278703,0.030911815974524713
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,5,85,85,True,17,0.863099991601923,0.651550110334494,0.5612935919580779,0.9653614885148845,0.38125731459209455,0.04135316190058725
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,6,85,85,True,17,0.8700922807615511,0.6458542785769936,0.5533058394522418,0.9593441134679668,0.39697407635619514,0.04305788406304379
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,7,85,85,True,17,0.8734218494922258,0.6384665399290032,0.5481845428442377,0.9261609794233182,0.404949866106468,0.04392297992403981
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,8,85,85,True,17,0.8811476772341104,0.6403658928433821,0.5408588444786884,0.9616100559129825,0.4081342201120235,0.044268371610180726
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,9,85,85,True,17,0.8877168391187923,0.6473658251648566,0.5387970314252423,0.9751554486703317,0.4228719256661275,0.04586690021670489
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,10,85,85,True,17,0.8853695307137281,0.6444640662292681,0.5244200344686534,0.9705345927437186,0.4267655544882987,0.04628922355818965
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,11,85,85,True,17,0.8940920793238838,0.6455741689720785,0.5204659856908173,1.0538486835700154,0.4471921890517896,0.04850480315196588
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,12,85,85,True,17,0.9093512209838939,0.6453255370785719,0.5143854865137417,1.053297342189484,0.46896374490923853,0.0508662599417563
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,13,85,85,True,17,0.9084007997177113,0.6407265009305692,0.5058730522489538,1.0186744641516827,0.47132229539808573,0.05112208066042332
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,14,85,85,True,17,0.9094985937827613,0.6385687517380391,0.5042771855548785,1.0113028443805063,0.4716472828693301,0.05115733050088451
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,15,85,85,True,17,0.9106181534093358,0.6375147394463853,0.5035733042106474,1.021134762809067,0.4727363218690232,0.051275453365277404
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,16,85,85,True,17,0.9117609536896231,0.6374542503737668,0.5015066706147637,1.0253265124287931,0.4738045631998346,0.05139132040575427
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,17,85,85,True,17,0.9122242506095999,0.6370778394683024,0.500143759845674,1.025954471675451,0.47657852749597845,0.051692199078121816
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,18,85,85,True,17,0.9125604670551786,0.6372725324351608,0.49867216186061974,1.0318011170235262,0.47809641993335716,0.05185683762880183
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,19,85,85,True,17,0.9121351063589687,0.6377984657451992,0.4985057612498586,1.0310420164401364,0.4792076228850326,0.05197736451132003
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,20,85,85,True,17,0.912613073260519,0.6379647258407909,0.4981531441489866,1.0300404631489055,0.47974850772901656,0.052036031709736336
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,21,85,85,True,17,0.9126536686885255,0.6389094041787611,0.4972683155646405,1.030826576761774,0.4802634388254528,0.052091883828983825
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,22,85,85,True,17,0.9126714890464755,0.6397557940715958,0.4968836333496726,1.0271996718847642,0.48073280268766966,0.052142793487740945
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,23,85,85,True,17,0.9132766427042238,0.6401403102386176,0.49671984263420377,1.0317080364503537,0.4812253043780285,0.05219621279632395
purchase_volume,HOLDOUT_06_CONTIGUOUS,6,24,85,85,True,17,0.9136025465400568,0.640427513872037,0.4968665330523709,1.037526316826745,0.48194023442371886,0.05227375784738391
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,0,34,34,True,17,1.0,1.0,1.0,1.0,0.0,0.0
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,1,34,34,True,17,0.8917076214225417,0.8164788939064775,0.731917287664795,1.2866122275641332,0.2924076140917239,0.050147492101627375
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,2,34,34,True,17,0.888910557849414,0.7955413957777422,0.7067182136794332,1.2664832615997388,0.3196834795401361,0.05482526443456751
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,3,34,34,True,17,0.895653110627512,0.775212035183351,0.6909292189076817,1.2572380251063113,0.34677447890767543,0.059471332496197106
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,4,34,34,True,17,0.9616005835567423,0.7538603789038644,0.6735529570810104,1.4362556091839445,0.3062241652566847,0.05251701107796724
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,5,34,34,True,17,0.9749559347137657,0.7560570391689869,0.6639953446255111,1.439584059926035,0.32426783110876023,0.055611474242382386
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,6,34,34,True,17,0.9915952935090543,0.7525145544622891,0.6494713033138484,1.444382471042287,0.3335674275844625,0.05720634188036159
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,7,34,34,True,17,1.0140951675663854,0.755407228317542,0.6485690258921013,1.4716268722735952,0.3505239132764135,0.060114355185520385
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,8,34,34,True,17,1.0204657358645568,0.7530466032568764,0.645190910775637,1.465100170955046,0.35207288760006183,0.060380002090448144
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,9,34,34,True,17,1.029869301324048,0.7550915712417382,0.6442539206031317,1.4604359322862766,0.35582088920085647,0.061022779062096286
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,10,34,34,True,17,1.0288900303789454,0.7537998167276018,0.6402075299618457,1.4460282505611715,0.35755777605458466,0.061320652700063295
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,11,34,34,True,17,1.0286846338828364,0.7536714098102362,0.6407887600142281,1.4433828348628182,0.35870955597737836,0.06151818132721796
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,12,34,34,True,17,1.0286805928135336,0.7534259563063379,0.6406900295645007,1.4435168596400048,0.35890109605696735,0.06155103017986555
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,13,34,34,True,17,1.0266734681311205,0.7535284984614827,0.6398330564080347,1.442167952163577,0.35922505455460885,0.06160658860385596
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,14,34,34,True,17,1.0278435564088932,0.7541329173335678,0.6395412745723433,1.442307100138384,0.35972460974338255,0.061692261611931254
purchase_volume,HOLDOUT_15_CONTIGUOUS,15,15,34,34,True,17,1.0286689798296045,0.7544060874443267,0.6402392959964889,1.4430933091378328,0.3605728558086279,0.06183773461197353
