channel,window_days,component,singular_value,relative_to_first,energy_ratio,energy_pct,cumulative_energy_ratio,cumulative_energy_pct,above_numerical_rank_tolerance
purchase_volume,30,1,104163.06771612095,1.0,0.4765703645788652,47.65703645788652,0.4765703645788652,47.65703645788652,True
purchase_volume,30,2,50544.60568920761,0.4852449797941675,0.11221454021600769,11.221454021600769,0.5887849047948729,58.87849047948729,True
purchase_volume,30,3,36966.236545300024,0.35488813219331566,0.060021934014241114,6.002193401424112,0.648806838809114,64.8806838809114,True
purchase_volume,30,4,33072.810635837035,0.31750995204914145,0.04804428307235098,4.8044283072350975,0.696851121881465,69.6851121881465,True
purchase_volume,30,5,32404.00228684157,0.3110891700612473,0.046120798414734335,4.612079841473434,0.7429719202961994,74.29719202961994,True
purchase_volume,30,6,28683.767588462804,0.27537368298940296,0.036138647800247836,3.613864780024784,0.7791105680964472,77.91105680964472,True
purchase_volume,30,7,25493.99943081567,0.2447508506594229,0.02854798449302352,2.854798449302352,0.8076585525894707,80.76585525894707,True
purchase_volume,30,8,22524.742569992137,0.21624499992050505,0.022285335726929843,2.2285335726929842,0.8299438883164005,82.99438883164005,True
purchase_volume,30,9,20937.787439907326,0.20100970429336595,0.019255778505239157,1.9255778505239158,0.8491996668216397,84.91996668216397,True
purchase_volume,30,10,20185.214547516807,0.19378475490495575,0.017896423500843476,1.7896423500843477,0.8670960903224832,86.70960903224832,True
purchase_volume,30,11,19514.78999649132,0.18734845684149418,0.01672735495745893,1.672735495745893,0.8838234452799422,88.38234452799422,True
purchase_volume,30,12,18874.51789094889,0.18120163225595695,0.0156477263779055,1.56477263779055,0.8994711716578476,89.94711716578476,True
purchase_volume,30,13,16598.70678439622,0.15935309076757634,0.012101745487893301,1.21017454878933,0.911572917145741,91.1572917145741,True
purchase_volume,30,14,15760.153370857954,0.15130269985720488,0.010909890399526948,1.090989039952695,0.9224828075452679,92.24828075452679,True
purchase_volume,30,15,14471.59865125139,0.13893214714731056,0.009198828617031989,0.9198828617031989,0.9316816361622999,93.16816361622999,True
purchase_volume,30,16,13815.186003849172,0.13263036800625108,0.008383260887831584,0.8383260887831584,0.9400648970501315,94.00648970501315,True
purchase_volume,30,17,13102.189918372049,0.12578536909146992,0.007540276805905252,0.7540276805905252,0.9476051738560368,94.76051738560368,True
purchase_volume,30,18,12328.098759402044,0.11835383720648684,0.006675621708425395,0.6675621708425395,0.9542807955644622,95.42807955644622,True
purchase_volume,30,19,11883.752683071509,0.11408796748823387,0.006203070521031394,0.6203070521031394,0.9604838660854936,96.04838660854936,True
purchase_volume,30,20,11282.889993426905,0.10831948636705419,0.00559165304735411,0.5591653047354109,0.9660755191328477,96.60755191328477,True
purchase_volume,30,21,10483.607838929443,0.10064611256938752,0.004827486216095582,0.4827486216095582,0.9709030053489434,97.09030053489434,True
purchase_volume,30,22,10001.90549584564,0.09602161029957532,0.004394050077562263,0.4394050077562263,0.9752970554265056,97.52970554265056,True
purchase_volume,30,23,9532.616121065757,0.09151627664274742,0.003991385885801753,0.3991385885801753,0.9792884413123073,97.92884413123073,True
purchase_volume,30,24,9246.009987497622,0.08876476269589216,0.0037549851608626446,0.37549851608626444,0.9830434264731699,98.30434264731699,True
purchase_volume,30,25,8794.646433711921,0.08443152286643729,0.0033973186052250986,0.33973186052250987,0.986440745078395,98.64407450783949,True
purchase_volume,30,26,8409.327994889665,0.08073233804718467,0.0031061476246760996,0.31061476246760994,0.9895468927030711,98.9546892703071,True
purchase_volume,30,27,8273.218622015325,0.07942564292137211,0.003006412097244029,0.30064120972440295,0.9925533048003151,99.25533048003152,True
purchase_volume,30,28,7811.322895557251,0.07499129074083828,0.002680085750682462,0.2680085750682462,0.9952333905509976,99.52333905509975,True
purchase_volume,30,29,7558.248716932249,0.07256169468367613,0.0025092380621503383,0.25092380621503385,0.9977426286131479,99.77426286131478,True
purchase_volume,30,30,7168.8873099430275,0.06882369602900554,0.002257371386852373,0.2257371386852373,1.0000000000000002,100.00000000000003,True
purchase_volume,60,1,140851.11463778786,1.0,0.43979113580677215,43.979113580677215,0.43979113580677215,43.979113580677215,True
purchase_volume,60,2,61268.70177592867,0.4349891155173816,0.08321531312303253,8.321531312303252,0.5230064489298046,52.300644892980465,True
purchase_volume,60,3,56618.17304428039,0.40197177842631526,0.07106202813644459,7.106202813644459,0.5940684770662492,59.40684770662492,True
purchase_volume,60,4,43919.3656002406,0.3118141145931536,0.04276003104962154,4.276003104962154,0.6368285081158708,63.68285081158708,True
purchase_volume,60,5,42304.00768758315,0.30034556557377595,0.0396724407462288,3.96724407462288,0.6765009488620995,67.65009488620996,True
purchase_volume,60,6,41377.50241822568,0.29376766044508695,0.03795372799972573,3.795372799972573,0.7144546768618253,71.44546768618252,True
purchase_volume,60,7,29925.726283541422,0.21246353896806777,0.019852504084511287,1.9852504084511287,0.7343071809463366,73.43071809463366,True
purchase_volume,60,8,28763.288643338972,0.20421058588926702,0.018340153844325278,1.8340153844325278,0.7526473347906619,75.2647334790662,True
purchase_volume,60,9,28253.419349338325,0.20059066924670566,0.017695707310628108,1.7695707310628108,0.77034304210129,77.034304210129,True
purchase_volume,60,10,26340.602889952588,0.18701025517398262,0.015380743064624763,1.5380743064624762,0.7857237851659148,78.57237851659148,True
purchase_volume,60,11,24641.45327652812,0.17494681060846395,0.013460417500279723,1.3460417500279722,0.7991842026661945,79.91842026661945,True
purchase_volume,60,12,23815.3915075519,0.16908202372977638,0.012573070367181728,1.257307036718173,0.8117572730333762,81.17572730333762,True
purchase_volume,60,13,23553.724235476693,0.16722426582173205,0.012298299566114453,1.2298299566114452,0.8240555725994907,82.40555725994906,True
purchase_volume,60,14,23317.085677756968,0.1655442041599677,0.012052424854731915,1.2052424854731913,0.8361079974542226,83.61079974542226,True
purchase_volume,60,15,22290.061491676017,0.15825264534822495,0.011014085120354277,1.1014085120354278,0.8471220825745769,84.71220825745769,True
purchase_volume,60,16,19935.81500674509,0.14153821258718435,0.008810364683755898,0.8810364683755898,0.8559324472583327,85.59324472583327,True
purchase_volume,60,17,19638.88759267691,0.13943011841390246,0.00854987300698365,0.8549873006983649,0.8644823202653164,86.44823202653164,True
purchase_volume,60,18,19273.741741054073,0.13683769411849062,0.008234893104957059,0.8234893104957058,0.8727172133702734,87.27172133702734,True
purchase_volume,60,19,18407.695361749942,0.13068902868881865,0.007511466455120281,0.7511466455120281,0.8802286798253937,88.02286798253937,True
purchase_volume,60,20,17589.145771502765,0.12487757599032807,0.006858282839845309,0.6858282839845309,0.887086962665239,88.7086962665239,True
purchase_volume,60,21,17145.978527770814,0.12173122358217285,0.006517040897592989,0.6517040897592988,0.893604003562832,89.3604003562832,True
purchase_volume,60,22,16697.347331758567,0.11854607877756165,0.006180460824557962,0.6180460824557963,0.8997844643873899,89.97844643873898,True
purchase_volume,60,23,16138.846505111438,0.11458089307006215,0.005773921532699049,0.5773921532699049,0.905558385920089,90.5558385920089,True
purchase_volume,60,24,15741.972373992938,0.11176320765707058,0.005493437492066831,0.5493437492066832,0.9110518234121558,91.10518234121558,True
purchase_volume,60,25,15362.34321439152,0.1090679562877245,0.00523167578840687,0.523167578840687,0.9162834992005627,91.62834992005628,True
purchase_volume,60,26,15309.516733832163,0.10869290437070414,0.005195757330259156,0.5195757330259155,0.9214792565308219,92.14792565308218,True
purchase_volume,60,27,14633.753289128666,0.1038951898020883,0.0047471980801051614,0.47471980801051616,0.926226454610927,92.6226454610927,True
purchase_volume,60,28,14292.716561099356,0.1014739329387236,0.004528511323015102,0.45285113230151025,0.9307549659339421,93.07549659339422,True
purchase_volume,60,29,13643.327355493431,0.09686346743210769,0.004126354107272028,0.4126354107272028,0.9348813200412142,93.48813200412141,True
purchase_volume,60,30,13314.519171195652,0.09452902950349533,0.003929858108717096,0.3929858108717096,0.9388111781499312,93.88111781499312,True
purchase_volume,60,31,13110.373808743961,0.09307965962824323,0.00381027257365544,0.381027257365544,0.9426214507235866,94.26214507235866,True
purchase_volume,60,32,12926.192559411491,0.09177202887355512,0.0037039672485448673,0.3703967248544867,0.9463254179721314,94.63254179721315,True
purchase_volume,60,33,12383.561411039453,0.0879195130467016,0.0033995154537653006,0.33995154537653005,0.9497249334258967,94.97249334258967,True
purchase_volume,60,34,12346.422449327805,0.08765583773389236,0.0033791553734722067,0.3379155373472207,0.9531040887993689,95.31040887993689,True
purchase_volume,60,35,11753.810638192892,0.08344847442932164,0.0030625506125183696,0.30625506125183694,0.9561666394118873,95.61666394118873,True
purchase_volume,60,36,11387.545915562836,0.08084810649065151,0.002874657958852509,0.2874657958852509,0.9590412973707398,95.90412973707399,True
purchase_volume,60,37,11285.638010936827,0.08012459141668085,0.0028234371681550427,0.28234371681550424,0.9618647345388949,96.18647345388949,True
purchase_volume,60,38,10824.100271473442,0.07684781408587822,0.0025972246075361104,0.25972246075361105,0.964461959146431,96.4461959146431,True
