channel,window_days,orders_full_support,lags,zero_variance_lags,numerical_rank,nullity,svd_tolerance,largest_singular_value,smallest_singular_value,pc1_energy_pct,k80,k90,k95,k99,relative_frobenius_error_at_k90,relative_frobenius_error_at_k95
purchase_volume,30,96421,30,0,30,0,2.2301065776844315e-06,104163.06771612095,7168.8873099430275,47.65703645788652,7,13,18,27,0.2973669162066605,0.21382049582661103
purchase_volume,60,96204,60,0,60,0,3.00880223682881e-06,140851.11463778786,6180.892474655726,43.979113580677215,12,23,34,52,0.30731354359987295,0.21655463791069238
purchase_volume,90,96204,90,0,90,0,3.8082954149584852e-06,178277.8035396013,5820.6676678863105,45.13760916755301,15,31,49,77,0.31600506062255673,0.21952007967177717
purchase_freight,30,96421,30,0,30,0,5.329841446872979e-05,2489444.410873251,181693.41281576094,49.729468439295715,7,13,18,27,0.30007564289248345,0.218992254047161
purchase_freight,60,96204,60,0,60,0,7.165838607458598e-05,3354545.349709748,159562.59526900723,46.15549514125588,11,23,34,53,0.31256515375604327,0.22349963803439415
purchase_freight,90,96204,90,0,90,0,8.93420101947293e-05,4182369.1719836383,150958.17537756858,46.75566910970808,14,32,50,78,0.3155145768424363,0.22146982430672033
