iteration,objective,step_norm,alpha,condition_H
1,0.0353875404718072,1.8168622382605124,1.0,39.727039538224
2,0.03199678043211412,0.8281597865921434,1.0,36.231999738173066
3,0.03179070839212847,0.4378331911349525,1.0,33.601835742934696
4,0.03178088901068003,0.12025311418175942,1.0,34.477882365925005
5,0.03177996852779722,0.03470058637853132,1.0,35.77178966274733
6,0.03177986582551245,0.012034055396428179,1.0,36.34003164512399
7,0.0317798540626426,0.00412661804592153,1.0,36.5430331987287
8,0.03177985270391193,0.0014126846154712117,1.0,36.61301857324955
9,0.03177985254650824,0.0004814598541538713,1.0,36.636885575847835
10,0.03177985252825316,0.0001636205349300423,1.0,36.64496791325093
11,0.03177985252613476,5.550128154085607e-05,1.0,36.64769572854027
12,0.03177985252588882,1.8804910810952848e-05,1.0,36.648614653850906
13,0.031779852525860255,6.367051939554614e-06,1.0,36.64892381659722
14,0.03177985252585693,2.154910653622137e-06,1.0,36.64902771540247
15,0.03177985252585654,7.291683719782126e-07,1.0,36.6490625937036
16,0.0317798525258565,2.4671600275401606e-07,1.0,36.649074288588096
17,0.0317798525258565,8.348200090345698e-08,1.0,36.649078205026846
18,0.031779852525856495,2.825330021588427e-08,1.0,36.64907951478094
19,0.031779852525856495,9.565020492879675e-09,0.5,36.64907995213214
