test_month,candidate,metric,improvement_vs_logit
2018-07,GNADMM_BRIER_CONSTRAINED,brier,-0.003038540819769099
2018-08,GNADMM_BRIER_CONSTRAINED,brier,-0.0007362903491014983
2017-07,GN_BRIER,log_loss,-0.0008334379102348244
2017-08,GN_BRIER,log_loss,0.0005544957447186916
2017-09,GN_BRIER,log_loss,-9.3498806597897e-05
2017-10,GN_BRIER,log_loss,-4.0421249525302017e-05
2017-11,GN_BRIER,log_loss,0.0005126168453282176
2017-12,GN_BRIER,log_loss,-0.005255589786441972
2018-01,GN_BRIER,log_loss,-0.0003770390816331959
2018-02,GN_BRIER,log_loss,0.0010323668927529894
2018-03,GN_BRIER,log_loss,0.0024124659484759947
2018-04,GN_BRIER,log_loss,0.0018883866972423113
2018-05,GN_BRIER,log_loss,-0.012167785598664188
2018-06,GN_BRIER,log_loss,0.002842852306745511
2018-07,GN_BRIER,log_loss,-0.005885118306354492
2018-08,GN_BRIER,log_loss,-0.00672078465278364
2017-07,GNADMM_BRIER_CONSTRAINED,log_loss,-0.0008715704460350027
2017-08,GNADMM_BRIER_CONSTRAINED,log_loss,0.04382333200827371
2017-09,GNADMM_BRIER_CONSTRAINED,log_loss,-7.261388388410395e-05
2017-10,GNADMM_BRIER_CONSTRAINED,log_loss,-2.7245978643203328e-05
2017-11,GNADMM_BRIER_CONSTRAINED,log_loss,0.0005207294185002875
2017-12,GNADMM_BRIER_CONSTRAINED,log_loss,-0.005147730299510878
2018-01,GNADMM_BRIER_CONSTRAINED,log_loss,-0.0003393700280374945
2018-02,GNADMM_BRIER_CONSTRAINED,log_loss,-0.0007630470414533019
2018-03,GNADMM_BRIER_CONSTRAINED,log_loss,0.002389057285739571
2018-04,GNADMM_BRIER_CONSTRAINED,log_loss,0.0073599054500705086
2018-05,GNADMM_BRIER_CONSTRAINED,log_loss,-0.0015879583850693935
2018-06,GNADMM_BRIER_CONSTRAINED,log_loss,0.001758895888342507
2018-07,GNADMM_BRIER_CONSTRAINED,log_loss,-0.010880420238847804
2018-08,GNADMM_BRIER_CONSTRAINED,log_loss,-0.006878045229687602
