test_month,model,n,prevalence,mean_prediction,brier,ECE_quantile10,calibration_intercept,calibration_slope
2017-07,LOGIT_MLE,3851,0.02778499091145157,0.04131551063224497,0.02733604033035425,0.017447130799100548,-4.773267818146214,-0.38252685476003945
2017-08,LOGIT_MLE,4168,0.029030710172744723,0.038474942863608454,0.030597940495924125,0.012724686108454803,-3.5564675087436743,-0.014305721522516149
2017-09,LOGIT_MLE,4125,0.044121212121212124,0.03591925287615114,0.04209125592407652,0.011907609284103267,2.9696211209330206,1.8452524704553988
2017-10,LOGIT_MLE,4450,0.04157303370786517,0.03736918766665709,0.03966122898479816,0.008880530601196118,1.563357512378684,1.4531900474837285
2017-11,LOGIT_MLE,7253,0.1243623328277954,0.03881582915870086,0.11547585297208238,0.08554650366909453,2.9036274766062533,1.5166769137642868
2017-12,LOGIT_MLE,5483,0.07441181834761991,0.03947348679308096,0.06922215300930523,0.03493833155453896,1.8908873591035062,1.3907175208175848
2018-01,LOGIT_MLE,7036,0.05670835702103468,0.05130701266609992,0.052857263398228126,0.009847622734083475,1.1365110596790586,1.3636096445885622
2018-02,LOGIT_MLE,6516,0.14119091467157766,0.057518371537178814,0.12553576163340888,0.08367254313439886,2.868003907364221,1.685951898966368
2018-03,LOGIT_MLE,6969,0.1894102453723633,0.0769640909804438,0.16063199992857896,0.11244615439191952,2.279025542669642,1.5093223090497914
2018-04,LOGIT_MLE,6763,0.04509832914387106,0.08117327448051738,0.042703959687649284,0.03607494533664631,-1.089674576007328,0.8011700006301313
2018-05,LOGIT_MLE,6716,0.06551518761167362,0.08292948122509344,0.05906805238420563,0.017414293613419812,0.08025923106908174,1.1598847299072592
2018-06,LOGIT_MLE,6071,0.011530225662987975,0.058659815586659496,0.014032801519615164,0.047129589923671514,-0.6739744116226004,1.4138110907187331
2018-07,LOGIT_MLE,6136,0.033246414602346806,0.10595992509168682,0.04004925859922476,0.0732952682152902,-2.626474209384515,0.3302309015344331
2018-08,LOGIT_MLE,6323,0.06167958247667247,0.11144849497692817,0.06487480094172556,0.06859166625597311,-2.9936213027392538,-0.11896861097215838
2017-07,GN_FREE_BRIER,3851,0.02778499091145157,0.0414105938942088,0.02739153798478243,0.019918771247456845,-4.819384903298803,-0.39492956130155543
2017-08,GN_FREE_BRIER,4168,0.029030710172744723,0.03844785213655834,0.030601174961480838,0.0106121453404662,-3.5675391198263045,-0.017686718666368936
2017-09,GN_FREE_BRIER,4125,0.044121212121212124,0.03603120220309194,0.04211114780499334,0.012369297660917938,1.4653206921550557,1.385151105312549
2017-10,GN_FREE_BRIER,4450,0.04157303370786517,0.03722383806584264,0.039594181149137396,0.008826962261044595,-0.24523749933472824,0.8868013078526363
2017-11,GN_FREE_BRIER,7253,0.1243623328277954,0.038079771994702076,0.11503563476609292,0.08628256083309332,1.165291271644549,0.9591797511828424
2017-12,GN_FREE_BRIER,5483,0.07441181834761991,0.03553713784275496,0.06953385007282271,0.03887468050486496,0.2698261004311584,0.8365711538159283
2018-01,GN_FREE_BRIER,7036,0.05670835702103468,0.049351704983360535,0.052885923525946524,0.009247796126148634,0.26771822046687843,1.0417862671447282
2018-02,GN_FREE_BRIER,6516,0.14119091467157766,0.057044729444910264,0.1253227202207004,0.08414618522666738,2.29436226920905,1.470858733666018
2018-03,GN_FREE_BRIER,6969,0.1894102453723633,0.07715017038936786,0.1600017245103999,0.11226007498299546,1.9289887680815079,1.3642394431637443
2018-04,GN_FREE_BRIER,6763,0.04509832914387106,0.08009951743937771,0.04246593211938686,0.03564409181211514,-1.1091529934459512,0.7849548548409903
2018-05,GN_FREE_BRIER,6716,0.06551518761167362,0.08193624185803516,0.05913985493194484,0.018472728720612813,-1.1808284355331302,0.5773249170224982
2018-06,GN_FREE_BRIER,6071,0.011530225662987975,0.05540004338465441,0.01384272168891964,0.04386981772166643,-1.132138420090731,1.2046725520142212
2018-07,GN_FREE_BRIER,6136,0.033246414602346806,0.11000523429118822,0.041819167829058736,0.08000912929290031,-2.761136412518541,0.26800594277321244
2018-08,GN_FREE_BRIER,6323,0.06167958247667247,0.10821147995690242,0.0655706551260955,0.07466115428352656,-3.2654043511096766,-0.22652982101252886
2017-07,GNADMM_GE0,3851,0.02778499091145157,0.041407889897238016,0.027390763257365218,0.020434617758532937,-4.813339264884145,-0.39304554635448813
2017-08,GNADMM_GE0,4168,0.029030710172744723,0.0384371627802684,0.030600632365874805,0.010605353891655012,-3.566483899804644,-0.017358662457386924
2017-09,GNADMM_GE0,4125,0.044121212121212124,0.03602611337964332,0.04210722996035664,0.011845616487965414,1.4960527799938859,1.394572035618081
2017-10,GNADMM_GE0,4450,0.04157303370786517,0.03722916955994991,0.03959535863467142,0.009562332644674099,-0.24422737506889247,0.8871686132333415
2017-11,GNADMM_GE0,7253,0.1243623328277954,0.03811934897960353,0.11504531596357982,0.08624298384819187,1.1784630877695128,0.9637414083211425
2017-12,GNADMM_GE0,5483,0.07441181834761991,0.035643170844240686,0.06952701129731091,0.03876864750337924,0.2686993592449186,0.8370620276084185
2018-01,GNADMM_GE0,7036,0.05670835702103468,0.049400358483496554,0.05288315337087611,0.009236876509939394,0.2864399758083865,1.0487218000426939
2018-02,GNADMM_GE0,6516,0.14119091467157766,0.05707580668018204,0.12532471856496546,0.08411510799139561,2.295605305853674,1.4716004349845169
2018-03,GNADMM_GE0,6969,0.1894102453723633,0.07715649031284945,0.15999552659912417,0.11225375505951388,1.9329752425417885,1.3659381671818354
2018-04,GNADMM_GE0,6763,0.04509832914387106,0.07997194987145714,0.04242214185239667,0.03516791839775979,-0.43745893894888127,1.088392942976228
2018-05,GNADMM_GE0,6716,0.06551518761167362,0.08219459956482261,0.0591026601419983,0.018657845885867014,-0.5314713909824472,0.8706908396102866
2018-06,GNADMM_GE0,6071,0.011530225662987975,0.055334976902419696,0.013822113766170648,0.04380475123943172,-1.0895388098087122,1.2213556818727067
2018-07,GNADMM_GE0,6136,0.033246414602346806,0.10951657991022713,0.04168593743586568,0.0795066014191523,-2.7569268299510847,0.269410665123315
2018-08,GNADMM_GE0,6323,0.06167958247667247,0.10841539233003716,0.06561108759561249,0.07479907272771597,-3.2844441656310637,-0.2346855437673098
2017-07,GN_EQ0,3851,0.02778499091145157,0.041429289049788307,0.0274011868025741,0.019434088495429318,-4.8981552395547086,-0.4194098601795023
2017-08,GN_EQ0,4168,0.029030710172744723,0.035986239711686616,0.02820126390574655,0.009218716798216661,-0.17841294916064587,1.013405331782031
2017-09,GN_EQ0,4125,0.044121212121212124,0.03598070559703605,0.042097321861916295,0.013656999358558455,1.5375719558687337,1.4068912469336932
2017-10,GN_EQ0,4450,0.04157303370786517,0.03716315722270945,0.03958811826059689,0.009246504241897591,-0.27831571258071336,0.8758874584934484
2017-11,GN_EQ0,7253,0.1243623328277954,0.0380821688254387,0.11503606952469324,0.08628016400235668,1.1660455721657617,0.9594414491339299
2017-12,GN_EQ0,5483,0.07441181834761991,0.035643171059946265,0.06952701127874301,0.03876864728767365,0.2686994060413133,0.8370620440874289
2018-01,GN_EQ0,7036,0.05670835702103468,0.0494003584838751,0.052883153370868886,0.009236876509683807,0.28643997580437563,1.0487218000442788
2018-02,GN_EQ0,6516,0.14119091467157766,0.057075806680895284,0.1253247185648156,0.08411510799068238,2.2956053058471975,1.4716004349894245
2018-03,GN_EQ0,6969,0.1894102453723633,0.07715649030286947,0.15999552672663994,0.11225375506949384,1.9329753433177022,1.3659382096808714
2018-04,GN_EQ0,6763,0.04509832914387106,0.079971949873096,0.04242214185250904,0.035167918399375275,-0.437458938934082,1.0883929429949843
2018-05,GN_EQ0,6716,0.06551518761167362,0.08219459956612923,0.059102660142052524,0.018657845887134414,-0.5314713909780486,0.8706908396197808
2018-06,GN_EQ0,6071,0.011530225662987975,0.05534891308403448,0.013826464370639184,0.043818687421046505,-1.097376904896121,1.21832719985639
2018-07,GN_EQ0,6136,0.033246414602346806,0.10950561821246226,0.04168412041612877,0.0794985552040971,-2.7568852373061397,0.26940618705845965
2018-08,GN_EQ0,6323,0.06167958247667247,0.10841539185337108,0.06561108786004777,0.07479907338457284,-3.284444200811604,-0.23468555574482244
2017-07,GNADMM_LE0,3851,0.02778499091145157,0.0414292890499259,0.027401186802579046,0.01943408849552674,-4.898155239556116,-0.4194098601803986
2017-08,GNADMM_LE0,4168,0.029030710172744723,0.03598623965219219,0.028201263890336687,0.009218716872458411,-0.17841272157140498,1.0134054008985647
2017-09,GNADMM_LE0,4125,0.044121212121212124,0.03598070564894527,0.042097321861061375,0.013656999118472584,1.5375716008029594,1.4068911386860952
2017-10,GNADMM_LE0,4450,0.04157303370786517,0.037179743303486744,0.039588897063470636,0.009256565141727902,-0.2534210749674255,0.8838375836316192
2017-11,GNADMM_LE0,7253,0.1243623328277954,0.038079987061016826,0.11503578722268053,0.08628234576677855,1.1652191331502946,0.9591588253139436
2017-12,GNADMM_LE0,5483,0.07441181834761991,0.03560334855904044,0.06952937596543829,0.03880846978857948,0.26982086430894986,0.8370971063236984
2018-01,GNADMM_LE0,7036,0.05670835702103468,0.04937824512237017,0.05288431875111372,0.009524834091819465,0.2777650080482649,1.0455110974861657
2018-02,GNADMM_LE0,6516,0.14119091467157766,0.05705833481976471,0.12532316748414132,0.08413257985181294,2.294749468422077,1.471128679065429
2018-03,GNADMM_LE0,6969,0.1894102453723633,0.07715180763698133,0.16000003076025743,0.112258437735382,1.9307764278750021,1.364998616796715
2018-04,GNADMM_LE0,6763,0.04509832914387106,0.08006129565294161,0.04244835750997112,0.035579100763738,-1.0922109362779207,0.7923364454745042
2018-05,GNADMM_LE0,6716,0.06551518761167362,0.08200806688385356,0.059129997082238546,0.018535914606165976,-1.1436301400749334,0.5938411240388045
2018-06,GNADMM_LE0,6071,0.011530225662987975,0.05540030335911188,0.013842746133192987,0.0438700776961239,-1.1321588941349496,1.2046659507260078
2018-07,GNADMM_LE0,6136,0.033246414602346806,0.11003923084856906,0.04182886811210068,0.0800449969351021,-2.7615748598013363,0.2678385667860012
2018-08,GNADMM_LE0,6323,0.06167958247667247,0.1083151928699676,0.06561015288903053,0.07512141674902681,-3.1340967024214605,-0.17212015981787782
