test_month,model,n_train,n_test,prevalence,average_precision,brier,log_loss,roc_auc
2017-07,LOGIT_MLE,8923,3851,0.02778499091145157,0.0380198666850392,0.027336040330354253,0.13108029866356377,0.46367770988098084
2017-07,GN_BRIER,8923,3851,0.02778499091145157,0.03922739331808105,0.027396580148894005,0.13191373657379857,0.45449916127486223
2017-07,GNADMM_BRIER_CONSTRAINED,8923,3851,0.02778499091145157,0.03454782687286168,0.027400792480175778,0.1319518691095987,0.4540573328540618
2017-08,LOGIT_MLE,12774,4168,0.029030710172744723,0.036960000819918765,0.030597940495924125,0.1755802788661972,0.5450634793245481
2017-08,GN_BRIER,12774,4168,0.029030710172744723,0.03747842310907692,0.030600591784077272,0.1750257831214785,0.5313281749362347
2017-08,GNADMM_BRIER_CONSTRAINED,12774,4168,0.029030710172744723,0.03701707494405347,0.0282208269825283,0.1317569468579235,0.5304725263280422
2017-09,LOGIT_MLE,16942,4125,0.044121212121212124,0.06202301307259617,0.04209125592407652,0.17964024489676436,0.6113658089311146
2017-09,GN_BRIER,16942,4125,0.044121212121212124,0.06081138859318563,0.042109050273210005,0.17973374370336223,0.6109658791626836
2017-09,GNADMM_BRIER_CONSTRAINED,16942,4125,0.044121212121212124,0.06034573385800582,0.04209941460344214,0.17971285878064844,0.6058894187222871
2017-10,LOGIT_MLE,21067,4450,0.04157303370786517,0.06323273870693563,0.03966122898479816,0.17063902097558517,0.611601660276924
2017-10,GN_BRIER,21067,4450,0.04157303370786517,0.06957179380926558,0.03959326695409332,0.17067944222511044,0.6117841639998733
2017-10,GNADMM_BRIER_CONSTRAINED,21067,4450,0.04157303370786517,0.06995529655616636,0.039588930254152964,0.17066626695422837,0.6123570229080193
2017-11,LOGIT_MLE,25517,7253,0.1243623328277954,0.17105091901863212,0.11547585297208236,0.4312077853024382,0.6114296297770381
2017-11,GN_BRIER,25517,7253,0.1243623328277954,0.18557301812279828,0.11503528390547858,0.43069516845711,0.6207121737554817
2017-11,GNADMM_BRIER_CONSTRAINED,25517,7253,0.1243623328277954,0.18532715690872067,0.11503793228870078,0.43068705588393796,0.6205784587583498
2017-12,LOGIT_MLE,32770,5483,0.07441181834761991,0.1254137129560179,0.06922215300930522,0.26901746916351527,0.6602810779484207
2017-12,GN_BRIER,32770,5483,0.07441181834761991,0.11327351579307218,0.06953409968273695,0.27427305894995724,0.6418975176277407
2017-12,GNADMM_BRIER_CONSTRAINED,32770,5483,0.07441181834761991,0.11300539008744061,0.06952701109440756,0.27416519946302614,0.6415633149811649
2018-01,LOGIT_MLE,38253,7036,0.05670835702103468,0.09715583264730386,0.052857263398228126,0.2117727234446044,0.6426526614864719
2018-01,GN_BRIER,38253,7036,0.05670835702103468,0.09280005147198574,0.05288597536073469,0.21214976252623766,0.6368954630058649
2018-01,GNADMM_BRIER_CONSTRAINED,38253,7036,0.05670835702103468,0.09292315803533995,0.05288315340302408,0.21211209347264193,0.6371122170349784
2018-02,LOGIT_MLE,45289,6516,0.14119091467157766,0.23861889993157276,0.12553576163340888,0.434161100869839,0.6771780891630668
2018-02,GN_BRIER,45289,6516,0.14119091467157766,0.23459619822232264,0.12532271302392212,0.43312873397708607,0.6797148390154458
2018-02,GNADMM_BRIER_CONSTRAINED,45289,6516,0.14119091467157766,0.23439201541494356,0.12555486925864487,0.43492414791129236,0.6801691619790533
2018-03,LOGIT_MLE,51805,6969,0.1894102453723633,0.3165251590334481,0.16063199992857893,0.5205790587978254,0.688484419339438
2018-03,GN_BRIER,51805,6969,0.1894102453723633,0.31771021902697766,0.1600017438859453,0.5181665928493494,0.6924293385259928
2018-03,GNADMM_BRIER_CONSTRAINED,51805,6969,0.1894102453723633,0.3190058050422735,0.1599955262970354,0.5181900015120858,0.6922144976048322
2018-04,LOGIT_MLE,58774,6763,0.04509832914387106,0.14420570499858879,0.04270395968764929,0.188455028798857,0.7306733546903321
2018-04,GN_BRIER,58774,6763,0.04509832914387106,0.15724766009284938,0.042465941212289145,0.18656664210161472,0.7336032573653721
2018-04,GNADMM_BRIER_CONSTRAINED,58774,6763,0.04509832914387106,0.15634637880847074,0.042422142973329156,0.18109512334878658,0.7363752671740222
2018-05,LOGIT_MLE,65537,6716,0.06551518761167362,0.14506536019789357,0.05906805238420563,0.22521278373726084,0.7216082913262645
2018-05,GN_BRIER,65537,6716,0.06551518761167362,0.14826739983999157,0.05913985747354799,0.23738056933592508,0.7203889999420593
2018-05,GNADMM_BRIER_CONSTRAINED,65537,6716,0.06551518761167362,0.14915677028360122,0.05910266013594703,0.22680074212233026,0.7218371574251116
2018-06,LOGIT_MLE,72253,6071,0.011530225662987975,0.09415134741502243,0.014032801519615166,0.08889419149575746,0.7236222534339515
2018-06,GN_BRIER,72253,6071,0.011530225662987975,0.08989797350787068,0.013842721869091685,0.0860513391890119,0.7196491061013639
2018-06,GNADMM_BRIER_CONSTRAINED,72253,6071,0.011530225662987975,0.10002475621636293,0.01403051524250847,0.08713529560741495,0.7197562311043398
2018-07,LOGIT_MLE,78324,6136,0.033246414602346806,0.06165820087976471,0.040049258599224764,0.18656379065931183,0.560143224518398
2018-07,GN_BRIER,78324,6136,0.033246414602346806,0.07072756170093139,0.04181916844586574,0.19244890896566635,0.5598713524519721
2018-07,GNADMM_BRIER_CONSTRAINED,78324,6136,0.033246414602346806,0.07019782677677185,0.04308779941899389,0.1974442108981596,0.5571484999933892
2018-08,LOGIT_MLE,84460,6323,0.06167958247667247,0.0673282395828677,0.06487480094172557,0.26344000316037053,0.45687484603715856
2018-08,GN_BRIER,84460,6323,0.06167958247667247,0.06257433464976649,0.06557065900587618,0.2701607878131541,0.4332248570576566
2018-08,GNADMM_BRIER_CONSTRAINED,84460,6323,0.06167958247667247,0.06258417884691196,0.06561109129082701,0.27031804839005813,0.43285404970892916
