feature,beta_gn
intercept,-3.0207610345462306
z_freight,-0.09086746054896837
z_freight_sq,-0.14117607108258445
log_distance,0.5104536958549128
log_weight,0.10858595608831959
log_volume,-0.026704786377957486
promised_days,-0.48797135849343004
interstate,0.48297089409137334
