left_out_month,candidate,metric,mean_improvement_without_month
2018-06,GNADMM_BRIER_CONSTRAINED,brier,-3.2814014742084826e-05
2018-07,GNADMM_BRIER_CONSTRAINED,brier,0.0002010957619406689
2018-08,GNADMM_BRIER_CONSTRAINED,brier,2.3999571889314993e-05
2017-07,GN_BRIER,log_loss,-0.0016382348497489979
2017-08,GN_BRIER,log_loss,-0.0017449989770531144
2017-09,GN_BRIER,log_loss,-0.0016951532423364539
2017-10,GN_BRIER,log_loss,-0.001699236131342038
2017-11,GN_BRIER,log_loss,-0.0017417775232538473
2017-12,GN_BRIER,log_loss,-0.0012980693208099864
2018-01,GN_BRIER,log_loss,-0.001673342451949123
2018-02,GN_BRIER,log_loss,-0.0017817582961326757
2018-03,GN_BRIER,log_loss,-0.0018879197619575223
2018-04,GN_BRIER,log_loss,-0.0018476059734010852
2018-05,GN_BRIER,log_loss,-0.0007663619506390468
2018-06,GN_BRIER,log_loss,-0.0019210264049013314
2018-07,GN_BRIER,log_loss,-0.0012496440500474849
2018-08,GN_BRIER,log_loss,-0.001185362023399089
2017-07,GNADMM_BRIER_CONSTRAINED,log_loss,0.002319652997368677
2017-08,GNADMM_BRIER_CONSTRAINED,log_loss,-0.0011184164221935316
2017-09,GNADMM_BRIER_CONSTRAINED,log_loss,0.0022581948002801462
2017-10,GNADMM_BRIER_CONSTRAINED,log_loss,0.0022547049614154617
2017-11,GNADMM_BRIER_CONSTRAINED,log_loss,0.0022125530077890393
2017-12,GNADMM_BRIER_CONSTRAINED,log_loss,0.002648588370712975
2018-01,GNADMM_BRIER_CONSTRAINED,log_loss,0.002278714503676561
2018-02,GNADMM_BRIER_CONSTRAINED,log_loss,0.0023113050431700847
2018-03,GNADMM_BRIER_CONSTRAINED,log_loss,0.0020688354795398638
2018-04,GNADMM_BRIER_CONSTRAINED,log_loss,0.0016864625438220992
2018-05,GNADMM_BRIER_CONSTRAINED,log_loss,0.002374759761909784
2018-06,GNADMM_BRIER_CONSTRAINED,log_loss,0.0021173094331857914
2018-07,GNADMM_BRIER_CONSTRAINED,log_loss,0.0030895645198927386
2018-08,GNADMM_BRIER_CONSTRAINED,log_loss,0.002781689519188108
