h,max_abs_error,mean_abs_error,max_rel_error,mean_rel_error
0.001,1.598111910861011e-07,5.7743547051648875e-09,8.940126450164737e-07,4.2338421085892076e-08
0.0001,1.598116500245439e-09,5.776928990441899e-11,8.940160036699232e-09,4.300245426090818e-10
1e-05,1.5684148424455202e-11,1.1532445861818411e-12,2.066576719070618e-08,6.091561326454765e-11
1e-06,3.8541919655799006e-11,8.319567685387644e-12,1.2725127087767733e-07,6.741297649647172e-10
1e-07,3.9008570245496754e-10,8.304958221918202e-11,4.1071776277508275e-06,8.128475174531581e-09
