model,months,mean_AP,median_AP,mean_Brier,mean_LogLoss,mean_AUC,mean_beta_z2,median_beta_z2,total_ADMM_iterations
GNADMM_GE0,14,0.12085137730812587,0.09712026384157268,0.06322240362901202,0.24868185962321837,0.6179601611952494,0.449694450525916,0.07266051734987505,1188713
GNADMM_LE0,14,0.12023686148377329,0.09143702982764627,0.0630658193948295,0.24672966192271054,0.6174473677923121,-0.5011561772654686,-0.4094402185155798,1728993
GN_EQ0,14,0.12108286188572803,0.09649343249058116,0.06305006035271228,0.24559239793614943,0.6176969551914092,0.0,0.0,0
GN_FREE_BRIER,14,0.11998585446062203,0.09135542026522268,0.06323687333512586,0.2499298543815116,0.6177378855932296,-0.2296603574038183,-0.6526057301201895,0
LOGIT_MLE,14,0.11867207113897156,0.09565359003116314,0.06315274070065549,0.24830312705942076,0.6217611790095791,0.32359612610204097,0.04601654814919447,0
