candidate,months,mean_delta_AP_vs_logit,median_delta_AP_vs_logit,months_AP_better,mean_delta_Brier_vs_logit,months_Brier_better
GN_BRIER,14,0.0013105668080409655,0.0008517411413438668,8,8.423451547042675e-05,6
GNADMM_BRIER_CONSTRAINED,14,0.0016728837647373336,0.0012688600664800612,8,3.0306851038602966e-05,6
