feature,beta_gnadmm
intercept,-2.9946792340934896
z_freight,0.022902963165296397
z_freight_sq,-9.940248169196926e-11
log_distance,0.5153411270984654
log_weight,0.1027070991439011
log_volume,-0.027306937929481592
promised_days,-0.4855018765748114
interstate,0.4472909385890538
