start_id,gn_iterations,total_admm_iterations,objective,brier,beta_z2,constraint_violation
0,14,42,0.11992792919718695,0.2398558583943739,0.0,0.0
1,20,5397,0.03178421265968334,0.06356842531936668,-9.992971142361247e-11,9.992971142361247e-11
2,29,4487,0.03178421265782315,0.0635684253156463,-9.940248169196926e-11,9.940248169196926e-11
