candidate,metric,months,mean_improvement,median_improvement,std_improvement,months_better,months_worse,bootstrap_ci_lower,bootstrap_ci_upper,block_bootstrap_ci_lower,block_bootstrap_ci_upper,wilcoxon_p_two_sided,wilcoxon_p_greater,sign_test_p_two_sided,lomo_min_mean,lomo_max_mean,all_lomo_positive
GN_BRIER,average_precision,14,0.001310566808040935,0.0008517411413438598,0.007428930837649197,8,6,-0.0023594619823238587,0.005119387157706274,-0.002069477252122175,0.0045028797707340005,0.71484375,0.357421875,0.79052734375,0.0002942950929543835,0.002345240959655298,True
GNADMM_BRIER_CONSTRAINED,average_precision,14,0.001672883764737321,0.0012688600664800577,0.007414444288449613,8,6,-0.0020783297063027687,0.005386372464884366,-0.001869653050370023,0.005666736812889149,0.463134765625,0.2315673828125,0.79052734375,0.0007033949858641535,0.002756053505761522,True
GN_BRIER,roc_auc,14,-0.004120872993678847,-0.000809610576318065,0.009198126070555639,5,9,-0.00895877918715672,0.0003071832382620176,-0.006324326049113293,0.0010496030042172002,0.172607421875,0.9234619140625,0.4239501953125,-0.0051519050684575,-0.0026186333024616907,False
GNADMM_BRIER_CONSTRAINED,roc_auc,14,-0.004447953539823325,-0.0034303734273102293,0.009527767149673917,6,8,-0.009453679105432437,9.286942087596061e-05,-0.007131356156776163,0.0013706386562982631,0.172607421875,0.9234619140625,0.79052734375,-0.005493859887602947,-0.0029423502484074737,False
GN_BRIER,brier,14,-8.423451547042688e-05,-1.0222818643299686e-05,0.000579048169270446,6,8,-0.0004102278058480791,0.00017055712338471106,-0.00030367435039324895,0.00022084057760391552,1.0,0.52423095703125,0.79052734375,-0.00013919532763227623,4.5432817696540315e-05,False
GNADMM_BRIER_CONSTRAINED,brier,14,-3.030685103860024e-05,-1.3633152300809859e-05,0.0011160927905945345,6,8,-0.0006378518604480311,0.0005013084389190222,-0.000505972269655782,0.0004978511926217564,0.9031982421875,0.5723876953125,0.79052734375,-0.00021549303291816963,0.0002010957619406689,False
GN_BRIER,log_loss,14,-0.001580749354069414,-6.696002806159951e-05,0.004300697765537492,6,8,-0.0039054848045187813,0.0004011504181356861,-0.002967125414566799,0.0003765487515293051,0.5830078125,0.72918701171875,0.79052734375,-0.0019210264049013314,-0.0007663619506390468,False
GNADMM_BRIER_CONSTRAINED,log_loss,14,0.0020917084656969856,-0.00020599195596079922,0.012766080470837647,5,9,-0.0028431781582604677,0.00942882424129119,-0.002311212195595249,0.008783823395096781,0.7608642578125,0.642578125,0.4239501953125,-0.0011184164221935316,0.0030895645198927386,False
