admm_iteration,r_pri,r_dual,eps_pri,eps_dual,gn_iteration
1275,0.0,3.5189934141754975e-05,7.346993560997756e-07,2.8284271247461903e-07,1
1300,0.0,3.4738655982496924e-05,7.434380523221148e-07,2.8284271247461903e-07,1
1325,0.0,3.429316504569013e-05,7.520646828972235e-07,2.8284271247461903e-07,1
1350,0.0,3.385338711558994e-05,7.60580684962745e-07,2.8284271247461903e-07,1
1375,0.0,3.341924892820425e-05,7.689874772263691e-07,2.8284271247461903e-07,1
1400,0.0,3.299067815908108e-05,7.772864602021785e-07,2.8284271247461903e-07,1
1425,0.0,3.256760341129039e-05,7.854790164439695e-07,2.8284271247461903e-07,1
1450,0.0,3.214995420341982e-05,7.935665107755687e-07,2.8284271247461903e-07,1
1475,0.0,3.173766095800057e-05,8.015502905182083e-07,2.8284271247461903e-07,1
1500,0.0,3.133065498979459e-05,8.094316857149802e-07,2.8284271247461903e-07,1
1525,0.0,3.092886849440091e-05,8.172120093524108e-07,2.8284271247461903e-07,1
1550,0.0,3.053223453690357e-05,8.248925575791964e-07,2.8284271247461903e-07,1
1575,0.0,3.014068704083883e-05,8.324746099221322e-07,2.8284271247461903e-07,1
1600,0.0,2.9754160777065164e-05,8.399594294992725e-07,2.8284271247461903e-07,1
1625,0.0,2.9372591352924693e-05,8.473482632303586e-07,2.8284271247461903e-07,1
1650,0.0,2.8995915201585065e-05,8.546423420445467e-07,2.8284271247461903e-07,1
1675,0.0,2.8624069571367428e-05,8.618428810854705e-07,2.8284271247461903e-07,1
1700,0.0,2.825699251532421e-05,8.689510799136779e-07,2.8284271247461903e-07,1
1725,0.0,2.7894622880955677e-05,8.759681227064732e-07,2.8284271247461903e-07,1
1750,0.0,2.753690029994038e-05,8.828951784551812e-07,2.8284271247461903e-07,1
1775,0.0,2.718376517812926e-05,8.897334011599052e-07,2.8284271247461903e-07,1
1800,0.0,2.6835158685664662e-05,8.964839300217717e-07,2.8284271247461903e-07,1
1825,0.0,2.6491022747071602e-05,9.03147889632711e-07,2.8284271247461903e-07,1
1850,0.0,2.6151300031640456e-05,9.097263901628086e-07,2.8284271247461903e-07,1
1875,0.0,2.5815933943920677e-05,9.162205275452528e-07,2.8284271247461903e-07,1
1900,0.0,2.548486861418675e-05,9.226313836589072e-07,2.8284271247461903e-07,1
1925,0.0,2.515804888922335e-05,9.289600265085463e-07,2.8284271247461903e-07,1
1950,0.0,2.4835420323124358e-05,9.352075104027775e-07,2.8284271247461903e-07,1
1975,0.0,2.4516929168147406e-05,9.413748761296798e-07,2.8284271247461903e-07,1
2000,0.0,2.4202522365887602e-05,9.474631511301973e-07,2.8284271247461903e-07,1
2025,0.0,2.389214753825697e-05,9.534733496692972e-07,2.8284271247461903e-07,1
2050,0.0,2.3585752979018992e-05,9.594064730049426e-07,2.8284271247461903e-07,1
2075,0.0,2.3283287644851325e-05,9.652635095548955e-07,2.8284271247461903e-07,1
2100,0.0,2.2984701147144015e-05,9.71045435061379e-07,2.8284271247461903e-07,1
2125,0.0,2.2689943743409158e-05,9.767532127536308e-07,2.8284271247461903e-07,1
2150,0.0,2.2398966329092995e-05,9.823877935083707e-07,2.8284271247461903e-07,1
2175,0.0,2.211172042937415e-05,9.879501160082073e-07,2.8284271247461903e-07,1
2200,0.0,2.1828158191003477e-05,9.934411068980209e-07,2.8284271247461903e-07,1
2225,0.0,2.154823237444925e-05,9.988616809393305e-07,2.8284271247461903e-07,1
2250,0.0,2.1271896346042318e-05,1.0042127411626939e-06,2.8284271247461903e-07,1
2275,0.0,2.0999104069996388e-05,1.0094951790181386e-06,2.8284271247461903e-07,1
2300,0.0,2.0729810101108304e-05,1.0147098745236767e-06,2.8284271247461903e-07,1
2325,0.0,2.0463969576750562e-05,1.0198576964119081e-06,2.8284271247461903e-07,1
2350,0.0,2.0201538209738135e-05,1.0249395022747445e-06,2.8284271247461903e-07,1
2375,0.0,1.99424722808067e-05,1.0299561387062804e-06,2.8284271247461903e-07,1
2400,0.0,1.9686728631354566e-05,1.0349084414438292e-06,2.8284271247461903e-07,1
2425,0.0,1.9434264656198463e-05,1.03979723550715e-06,2.8284271247461903e-07,1
2450,0.0,1.9185038296579138e-05,1.0446233353358913e-06,2.8284271247461903e-07,1
2475,0.0,1.8939008033139193e-05,1.0493875449252717e-06,2.8284271247461903e-07,1
2500,0.0,1.8696132878859295e-05,1.0540906579600188e-06,2.8284271247461903e-07,1
2525,0.0,1.845637237242459e-05,1.0587334579465913e-06,2.8284271247461903e-07,1
2550,0.0,1.821968657139683e-05,1.0633167183437094e-06,2.8284271247461903e-07,1
2575,0.0,1.7986036045483655e-05,1.0678412026912017e-06,2.8284271247461903e-07,1
2600,0.0,1.7755381870168674e-05,1.0723076647372106e-06,2.8284271247461903e-07,1
2625,0.0,1.752768562003626e-05,1.0767168485637596e-06,2.8284271247461903e-07,1
2650,0.0,1.730290936240164e-05,1.0810694887107131e-06,2.8284271247461903e-07,1
2675,0.0,1.7081015651093656e-05,1.0853663102981452e-06,2.8284271247461903e-07,1
2700,0.0,1.6861967520181986e-05,1.0896080291471397e-06,2.8284271247461903e-07,1
2725,0.0,1.664572847766277e-05,1.093795351899041e-06,2.8284271247461903e-07,1
2750,0.0,1.6432262499685435e-05,1.0979289761331754e-06,2.8284271247461903e-07,1
1,0.0,7.431768413005226e-05,1.0074317684130051e-07,2.8284271247461903e-07,2
25,0.0,7.324020907597184e-05,1.1844442248160996e-07,2.8284271247461903e-07,2
50,0.0,7.213444725810399e-05,1.3661037582188228e-07,2.8284271247461903e-07,2
75,0.0,7.104537994743945e-05,1.545020642762095e-07,2.8284271247461903e-07,2
100,0.0,6.997275509460464e-05,1.7212362862521864e-07,2.8284271247461903e-07,2
125,0.0,6.891632445560868e-05,1.8947914713309704e-07,2.8284271247461903e-07,2
150,0.0,6.787584353437279e-05,2.0657263649144932e-07,2.8284271247461903e-07,2
175,0.0,6.685107152617012e-05,2.2340805274890464e-07,2.8284271247461903e-07,2
200,0.0,6.584177126187953e-05,2.399892922266885e-07,2.8284271247461903e-07,2
225,0.0,6.48477091530885e-05,2.5632019242037214e-07,2.8284271247461903e-07,2
250,0.0,6.386865513806003e-05,2.724045328880063e-07,2.8284271247461903e-07,2
275,0.0,6.29043826284488e-05,2.8824603612484823e-07,2.8284271247461903e-07,2
300,0.0,6.195466845689349e-05,3.03848368424879e-07,2.8284271247461903e-07,2
325,0.0,6.1019292825360144e-05,3.1921514072931874e-07,2.8284271247461903e-07,2
350,0.0,6.009803925425758e-05,3.343499094623256e-07,2.8284271247461903e-07,2
375,0.0,5.919069453235587e-05,3.4925617735408237e-07,2.8284271247461903e-07,2
400,0.0,5.829704866743002e-05,3.6393739425145294e-07,2.8284271247461903e-07,2
425,0.0,5.7416894837670346e-05,3.783969579164018e-07,2.8284271247461903e-07,2
450,0.0,5.655002934379372e-05,3.9263821481235805e-07,2.8284271247461903e-07,2
475,0.0,5.569625156194233e-05,4.0666446087870774e-07,2.8284271247461903e-07,2
500,0.0,5.4855363897196585e-05,4.204789422935926e-07,2.8284271247461903e-07,2
525,0.0,5.402717173788596e-05,4.3408485622519236e-07,2.8284271247461903e-07,2
550,0.0,5.321148341054516e-05,4.474853515716658e-07,2.8284271247461903e-07,2
575,0.0,5.2408110135529484e-05,4.60683529689917e-07,2.8284271247461903e-07,2
600,0.0,5.161686598337267e-05,4.7368244511336347e-07,2.8284271247461903e-07,2
625,0.0,5.083756783168247e-05,4.864851062588625e-07,2.8284271247461903e-07,2
650,0.0,5.007003532282034e-05,4.990944761229685e-07,2.8284271247461903e-07,2
675,0.0,4.931409082215704e-05,5.115134729676772e-07,2.8284271247461903e-07,2
700,0.0,4.8569559376904214e-05,5.237449709958158e-07,2.8284271247461903e-07,2
725,0.0,4.783626867569529e-05,5.357918010162375e-07,2.8284271247461903e-07,2
750,0.0,4.711404900867994e-05,5.476567510989722e-07,2.8284271247461903e-07,2
775,0.0,4.6402733228236015e-05,5.593425672204869e-07,2.8284271247461903e-07,2
800,0.0,4.570215671029221e-05,5.708519538992026e-07,2.8284271247461903e-07,2
825,0.0,4.5012157316212664e-05,5.82187574821417e-07,2.8284271247461903e-07,2
850,0.0,4.4332575355320036e-05,5.933520534577786e-07,2.8284271247461903e-07,2
1,0.0,7.046472028592296e-05,1.0070464720285922e-07,2.8284271247461903e-07,3
25,0.0,6.937929303229358e-05,1.1748016525400671e-07,2.8284271247461903e-07,3
50,0.0,6.826641507051093e-05,1.3467994006542925e-07,2.8284271247461903e-07,3
75,0.0,6.717138821823922e-05,1.5160382203478505e-07,2.8284271247461903e-07,3
100,0.0,6.609392613491239e-05,1.682562366188687e-07,2.8284271247461903e-07,3
125,0.0,6.503374707300148e-05,1.8464153828797266e-07,2.8284271247461903e-07,3
150,0.0,6.399057380434246e-05,2.0076401166454541e-07,2.8284271247461903e-07,3
175,0.0,6.2964133547656e-05,2.1662787264358539e-07,2.8284271247461903e-07,3
200,0.0,6.195415789720694e-05,2.322372694950631e-07,2.8284271247461903e-07,3
225,0.0,6.096038275262006e-05,2.4759628394865947e-07,2.8284271247461903e-07,3
250,0.0,5.9982548249813694e-05,2.627089322611055e-07,2.8284271247461903e-07,3
275,0.0,5.902039869306111e-05,2.7757916626639993e-07,2.8284271247461903e-07,3
300,0.0,5.807368248812034e-05,2.922108744091814e-07,2.8284271247461903e-07,3
325,0.0,5.714215207644133e-05,3.066078827615265e-07,2.8284271247461903e-07,3
350,0.0,5.622556387042954e-05,3.207739560234334e-07,2.8284271247461903e-07,3
375,0.0,5.5323678189767717e-05,3.3471279850726325e-07,2.8284271247461903e-07,3
400,0.0,5.44362591987195e-05,3.484280551063857e-07,2.8284271247461903e-07,3
1,0.0,6.833917622222226e-05,1.0068339176222222e-07,2.8284271247461903e-07,4
25,0.0,6.724316217270173e-05,1.1694743851222742e-07,2.8284271247461903e-07,4
50,0.0,6.612016827576336e-05,1.33611846461896e-07,2.8284271247461903e-07,4
75,0.0,6.501592892950263e-05,1.4999795059867288e-07,2.8284271247461903e-07,4
100,0.0,6.39301309236888e-05,1.661103987331795e-07,2.8284271247461903e-07,4
125,0.0,6.286246627886655e-05,1.819537610553129e-07,2.8284271247461903e-07,4
150,0.0,6.181263215898798e-05,1.975325314305501e-07,2.8284271247461903e-07,4
175,0.0,6.078033078550302e-05,2.1285112867460302e-07,2.8284271247461903e-07,4
1,0.0,6.7373715368057e-05,1.0067373715368057e-07,2.8284271247461903e-07,5
25,0.0,6.626580672315445e-05,1.1670457349774197e-07,2.8284271247461903e-07,5
50,0.0,6.513110396031817e-05,1.331231061753809e-07,2.8284271247461903e-07,5
75,0.0,6.401583128403526e-05,1.4926049605385584e-07,2.8284271247461903e-07,5
1,0.0,6.695418427818712e-05,1.0066954184278186e-07,2.8284271247461903e-07,6
25,0.0,6.583700419607015e-05,1.1659852324883217e-07,2.8284271247461903e-07,6
50,1.9857078643707726e-08,0.0,1.3124996090994174e-07,2.8349080672184303e-07,6
1,0.0,6.67830105954708e-05,1.0066783010595471e-07,2.8284271247461903e-07,7
25,3.83434399964164e-05,0.0,1.160082162841486e-07,2.834996932640842e-07,7
1,0.0,6.672041650721259e-05,1.0066720416507212e-07,2.8284271247461903e-07,8
1,0.0,6.670248073311546e-05,1.0066702480733115e-07,2.8284271247461903e-07,9
1,0.0,6.670116747146005e-05,1.006670116747146e-07,2.8284271247461903e-07,10
1,0.0,6.670486765655438e-05,1.0066704867656554e-07,2.8284271247461903e-07,11
1,1.791199468802065e-05,4.8797200853577104e-05,1.0066709195541597e-07,2.8302183242149924e-07,12
1,4.2331564238528484e-05,2.4381186770458307e-05,1.0066712751008987e-07,2.832660281170043e-07,13
1,5.4533435177587347e-05,1.2181881635993691e-05,1.0066715316813581e-07,2.833880468263949e-07,14
1,6.0630458031609135e-05,6.086578748309134e-06,1.0066717036779918e-07,2.834490170549351e-07,15
1,6.367703438717709e-05,3.0411011388030716e-06,1.006671813552598e-07,2.834794828184908e-07,16
1,6.51993638363747e-05,1.5194486411942718e-06,1.0066718812477569e-07,2.834947061129828e-07,17
1,6.596005171119835e-05,7.591652092234156e-07,1.0066719216920421e-07,2.83502312991731e-07,18
1,6.634015682134282e-05,3.7929472375826224e-07,1.0066719451545101e-07,2.8350611404283246e-07,19
1,6.653008841530757e-05,1.8949500443174374e-07,1.0066719583419738e-07,2.835080133587721e-07,20
1,6.662499191494995e-05,9.466285964370974e-08,1.0066719654774593e-07,2.8350896239376854e-07,21
1,6.66724108233568e-05,4.728062098878742e-08,1.0066719691444345e-07,2.835094365828526e-07,22
1,6.670794814647337e-05,1.1737877626638382e-08,1.0066719686024099e-07,2.8350979195608374e-07,23
1,6.671684070917127e-05,2.8458332725140763e-09,1.0066719686542444e-07,2.8350988088171076e-07,24
1,6.671850862308581e-05,1.178176816174993e-09,1.0066719686799902e-07,2.8350989756084987e-07,25
1,6.671929051174894e-05,3.9642549488008883e-10,1.0066719686937243e-07,2.835099053797365e-07,26
1,6.671966925181037e-05,1.7755941274297177e-11,1.0066719687007752e-07,2.8350990916713714e-07,27
1,6.671968707949402e-05,0.0,1.0066719611646164e-07,2.8350990934541396e-07,28
1,6.671968710055338e-05,0.0,1.0066719588424065e-07,2.8350990934562456e-07,29
