term,coef,p_value
Intercept,-0.5905971023095472,1.3710379287595793e-60
log_distance,0.227514889857369,0.0
log_weight,0.11757838963946268,1.5462913026159962e-75
log_distance:log_weight,0.0010059317067251446,0.35023789039524983
log_volume,0.08823616481109814,1.364725971557438e-44
log_distance:log_volume,-0.006221233163174404,6.19894863413172e-09
log_price,0.11395787619887118,0.0
route_sellers_total,0.4455419485609115,0.0
