var,pearson_r,spearman_rho
distance_freight_weighted_km,0.11212583298614662,0.1225683703330233
total_weight_g,0.28920709156882324,0.08561322766656095
product_volume_sum_proxy_cm3,0.30107872765259996,0.0808846049958993
total_price,0.1739452971298651,0.06988897842602293
