year_month,residual_mean,residual_median,residual_std
2017-04,0.827215272397791,-0.0390025787109813,8.168457247159365
2017-05,1.1651363576175402,-0.05875505997685155,10.226857358789447
2017-06,1.7486739190641327,0.1353721696920828,17.48892346501253
2017-07,0.940818456382914,-0.12871170618079114,7.4281877355737125
2017-08,0.6748095385317653,-0.1691776331145149,8.474884602900314
2017-09,1.5009574865653588,0.07232575433100225,11.330520819325832
2017-10,1.241326886810776,-0.03369886361952275,9.807767657251398
2017-11,1.5618228810548793,0.0595273549524293,10.74176732199272
2017-12,0.9232804898649681,-0.1228491969595708,8.040117877682308
2018-01,0.9449180651331903,-0.0967656866039128,8.246855835168656
2018-02,0.7694225660766215,-0.1588866830859423,10.178817521651668
2018-03,3.082206022500393,0.926948712272079,12.48771408047588
2018-04,2.3648532393480286,0.5141202836460721,13.631070415478439
2018-05,2.015938712655293,0.1168688777849151,12.274051430725894
2018-06,5.037638060044311,1.5553821199508953,12.824509672767787
2018-07,5.151050746554424,1.5807752886101376,22.34495732414446
2018-08,3.6735249595564503,0.9500444367438288,11.926905475069598
