customer_state,random_intercept_uf
AC,0.007722511434454554
AL,0.2336577782982562
AM,0.24099938820351707
AP,0.1947342708202581
BA,0.04521731638925522
CE,0.039464241692141126
DF,-0.1709658999105958
ES,-0.0443209989301035
GO,-0.025001107768201292
MA,0.09207672161052986
MG,-0.20326929344597577
MS,-0.04368997150578306
MT,0.0017238418556873203
PA,0.15989560539517758
PB,0.027131685235168432
PE,-0.06794783904106413
PI,-0.039693327563232676
PR,-0.18342244281088435
RJ,0.01487007354444348
RN,-0.03505092872309353
RO,-0.00936875330084682
RR,0.12089809407874218
RS,-0.0762961769875933
SC,-0.03511905555274463
SE,0.06886390067414278
SP,-0.28803371435767766
TO,-0.02507591827281675
