test_month,model,ap_oot,brier_oot
2017-07,N1_Linear,0.031044121942221843,0.027321917426818956
2017-07,N2_Quadratic,0.03867130098618434,0.027309044939564018
2017-07,N3_Natural_Spline_df4,0.03769956479449899,0.0273126746176462
2017-07,N4_Categorical,0.031083812952380524,0.02731946881021534
2017-08,N1_Linear,0.045794307455022484,0.028204125051263088
2017-08,N2_Quadratic,0.03676501890877274,0.030601335046480237
2017-08,N3_Natural_Spline_df4,0.03685292648303465,0.03059960135224765
2017-08,N4_Categorical,0.04667718147091733,0.02819726966844622
2017-09,N1_Linear,0.06257295364686666,0.04207012387201374
2017-09,N2_Quadratic,0.06257945050938424,0.042070595526751485
2017-09,N3_Natural_Spline_df4,0.06347314566961988,0.04212766662016821
2017-09,N4_Categorical,0.0689167529331934,0.04202621770052545
2017-10,N1_Linear,0.06445136383194348,0.039634204979206465
2017-10,N2_Quadratic,0.06443609554265084,0.03963427990876803
2017-10,N3_Natural_Spline_df4,0.06319221244416895,0.039648070224017146
2017-10,N4_Categorical,0.061171053153065466,0.039654855060878395
2017-11,N1_Linear,0.17362295139058154,0.11539023362365124
2017-11,N2_Quadratic,0.17350946156413913,0.11539023240383028
2017-11,N3_Natural_Spline_df4,0.17192646915723525,0.11540410999742955
2017-11,N4_Categorical,0.16679402597775603,0.1154325382550055
2017-12,N1_Linear,0.1262581116169788,0.06919834065863345
2017-12,N2_Quadratic,0.12628279503754936,0.06919814370190353
2017-12,N3_Natural_Spline_df4,0.12632187739421366,0.06919936993068437
2017-12,N4_Categorical,0.12295908566930555,0.06922727350687949
2018-01,N1_Linear,0.0985948649957791,0.052798386482577266
2018-01,N2_Quadratic,0.09852779786246284,0.05279713467322761
2018-01,N3_Natural_Spline_df4,0.09897523561454552,0.052796015793332665
2018-01,N4_Categorical,0.10043581498351771,0.05277619402358082
2018-02,N1_Linear,0.2401461097515064,0.1253891080506013
2018-02,N2_Quadratic,0.239901536641423,0.12539107233840996
2018-02,N3_Natural_Spline_df4,0.2398564817591906,0.12539433053880547
2018-02,N4_Categorical,0.2387406329232782,0.12541494946763657
2018-03,N1_Linear,0.31955474555851127,0.16041210880284315
2018-03,N2_Quadratic,0.31877643445315623,0.16043940585864938
2018-03,N3_Natural_Spline_df4,0.31867687290285285,0.16043488916343362
2018-03,N4_Categorical,0.31695894082446574,0.1607685827832463
2018-04,N1_Linear,0.14313423401805356,0.04264354941619621
2018-04,N2_Quadratic,0.14475955076477526,0.042637669437805656
2018-04,N3_Natural_Spline_df4,0.14896444950772236,0.042644517839864934
2018-04,N4_Categorical,0.15499380283181707,0.04242066175470406
2018-05,N1_Linear,0.1482654245974295,0.058955533257731126
2018-05,N2_Quadratic,0.14510442504891619,0.05903142851533119
2018-05,N3_Natural_Spline_df4,0.14539644832777415,0.05904007383220772
2018-05,N4_Categorical,0.1457936985723227,0.05902700361369152
2018-06,N1_Linear,0.1048485734611613,0.013834865702444396
2018-06,N2_Quadratic,0.09319525753771597,0.014046500233593558
2018-06,N3_Natural_Spline_df4,0.0965879436581975,0.014062746188688807
2018-06,N4_Categorical,0.10585396402682795,0.013856458708229876
2018-07,N1_Linear,0.061503026575372766,0.039670389896292395
2018-07,N2_Quadratic,0.06206935044136806,0.04006449672172159
2018-07,N3_Natural_Spline_df4,0.060756373743967015,0.04013552957796933
2018-07,N4_Categorical,0.06117606954667524,0.0396375377465806
2018-08,N1_Linear,0.06812899330812439,0.06480540951460785
2018-08,N2_Quadratic,0.06807914602132195,0.06479734665195601
2018-08,N3_Natural_Spline_df4,0.06817353640848559,0.06482964347231308
2018-08,N4_Categorical,0.06854198136892337,0.06459198223383845
