term,coef,std_err,p_value
Intercept,-0.3162710439329862,0.013777745476469974,2.6997716865185744e-116
log_distance,0.1794053892830935,0.0009101575175989669,0.0
log_weight,0.12318410121983961,0.0015509024179925371,0.0
log_volume,0.05288196554531724,0.0014976382274752603,2.305460622976892e-271
log_price,0.11399185438669768,0.0016072126836033295,0.0
route_sellers_total,0.44489426824213985,0.010027124133663318,0.0
