term,mixed_effects_coef,std_err,conf_int_lower_95,conf_int_upper_95,z_stat
Intercept,2.573845262786226,0.02610304657226225,2.5226832915045923,2.62500723406786,98.60325137377866
log_distance_std,0.250565363133092,0.0023793532045486045,0.24590183085217676,0.2552288954140073,105.30818318780362
log_weight_std,0.03437054120132649,0.002860244817533071,0.02876446135896167,0.039976621043691304,12.0166431176233
log_volume_std,0.010394919593369738,0.002600941496609918,0.005297074260014299,0.015492764926725177,3.9965987727592243
log_freight_std,0.006296232972674201,0.002799694743590305,0.000808831275237204,0.011783634670111199,2.2488998084841083
freight_burden_std,0.006496854585123651,0.001808822751289289,0.0029515619925966443,0.010042147177650658,3.5917585515180166
freight_residual_OOT_std,-0.007694243760629856,0.0019763819200479277,-0.011567952323923793,-0.0038205351973359175,-3.8930956019083944
log_pop_std,-0.021895122416504806,0.0020249189477269877,-0.025863963554049702,-0.01792628127895991,-10.812838924285103
log_gdp_std,-0.007635936654464943,0.002219867125605349,-0.011986876220651426,-0.0032849970882784588,-3.4398169901194664
truck_strike_2018,0.08610235091653157,0.01269921261796988,0.0612118941853106,0.11099280764775253,6.780133029247293
