model,aic_A,bic_A,llf_A,aic_B,bic_B,llf_B,nobs
N1_Linear,45100.52835366217,45166.44194491891,-22543.264176831086,44183.89319450395,44259.22301308308,-22083.946597251976,90783
N2_Quadratic,45092.75816850557,45168.0879870847,-22538.379084252785,44179.62639457782,44264.37244047934,-22080.81319728891,90783
N3_Natural_Spline_df4,45093.96798586777,45178.71403176929,-22537.983992933885,44181.21551411856,44275.37778734247,-22080.60775705928,90783
N4_Categorical,45104.80315495143,45180.132973530555,-22544.401577475714,44189.82256503208,44274.5686109336,-22085.91128251604,90783
