variable,N,NA,mean,std,median,IQR,CV,p01,p05,p10,Q1,Q3,p90,p95,p99
total_freight,96211,0,22.784223009842947,21.565320009917393,17.17,10.160000000000002,0.946502323147075,7.39,7.87,9.34,13.85,24.01,39.4,54.765,104.23899999999993
freight_burden,96211,0,0.2089733743161642,0.125576192523091,0.18325606763021543,0.15903448409505375,0.6009195809467178,0.024613230557372308,0.05154468738810839,0.07279917972755237,0.11662910349308839,0.27566358758814213,0.38362919132149903,0.4561933534743202,0.5935415545992455
total_price,96211,0,137.00124860982632,209.1133704385442,86.5,104.0,1.5263610555411076,11.99,19.0,25.0,45.9,149.9,269.0,399.0,991.7099999999889
distance_freight_weighted_km,95734,477,600.2754560817277,592.118384263672,433.66691166359703,611.6390311965033,0.9864111188698258,5.767734102235739,16.591274829643098,34.76602851870303,185.737114550466,797.3761457469693,1456.523184083704,2094.9754947502392,2482.6505076842213
total_weight_g,96195,16,2386.3054212796924,4771.496995999236,750.0,1750.0,1.9995332338642755,100.0,147.0,175.0,300.0,2050.0,6550.0,10500.0,22350.0
product_volume_sum_proxy_cm3,96195,16,17323.247466084515,30152.49933645263,7240.0,16876.0,1.740580072846344,352.0,816.0,1408.0,2964.0,19840.0,42900.0,64000.0,135606.35999999952
customer_population,95628,583,2828779.0276801772,4353760.71390779,468148.0,2847210.0,1.539095373412118,5063.27,14956.0,28115.0,106776.0,2953986.0,12106920.0,12176866.0,12176866.0
customer_gdp_per_capita,95628,583,44600.79321893169,27348.783119119696,43444.68,30699.819999999996,0.6131905095246369,8303.776,14268.770500000002,18661.87,27031.81,57731.63,58691.9,80515.47,156381.39
