spec,coef_distance,r2,nobs
ALL_ORDERS,0.1794053892830935,0.5296352079156559,95718
SINGLE_SELLER_ONLY,0.17924739684059496,0.5185025610909872,94452
ROUTE_COMPLETE,0.17953693191969844,0.5199971650473808,95714
WEIGHT_VOLUME_COMPLETE,0.1795066288460247,0.5199606917810216,95718
TRIMMED_P0.5_P99.5,0.18019071014500693,0.583067420627567,94882
