group,N,late_count,observed_rate,posterior_beta_mean,ci_95_lower,ci_95_upper
HIGH_FREIGHT,9127,699,0.07658595376355867,0.07667871617920911,0.07130929516726697,0.08222380619205634
LOW_FREIGHT,9126,651,0.07133464825772518,0.07142857142857142,0.06623519422957627,0.0767998144690169
NORMAL_FREIGHT,77950,5181,0.06646568313021167,0.06647680623973727,0.06473861336040777,0.06823606893066769
