year_month,MAE_F2,RMSE_F2,R2_F2,nobs
2017-04,3.1203094056521357,8.208471623520373,0.7617247911821725,2303
2017-05,3.90259682638155,10.291581965596356,0.7339298676440292,3546
2017-06,3.9511417942808125,17.573353142252106,0.5167205305348845,3135
2017-07,3.5300953179598342,7.486578784280153,0.81606106620425,3872
2017-08,3.586666151851657,8.500700413680827,0.7935836294169706,4193
2017-09,3.993588042582447,11.4281512198924,0.6630261555331765,4150
2017-10,4.069146861750172,9.884923761557625,0.7766663708866091,4478
2017-11,4.201158911280926,10.853986632396442,0.7310618897558304,7289
2017-12,3.4897246582016943,8.092231873985291,0.7661399755377226,5513
2018-01,3.584692901175652,8.300233752532858,0.7817266977341252,7069
2018-02,3.5470316749142907,10.207082405117536,0.7423130869863834,6555
2018-03,5.475176739924398,12.861599002163123,0.6833377343189491,7003
2018-04,6.043404687398722,13.833700844416084,0.6577646818195604,6798
2018-05,5.812036046975354,12.437605285798837,0.6784474856193636,6749
2018-06,6.438925048743344,13.777477242770619,0.6387264993773174,6099
2018-07,6.565580656656376,22.929225318883496,0.5106996700679376,6159
2018-08,5.475808336181761,12.47892069143151,0.637682951566604,6351
