predictor,OR_R_A_observed,OR_R_A_ci_lower,OR_R_A_ci_upper,OR_R_B_promise_adjusted,OR_R_B_ci_lower,OR_R_B_ci_upper
log_distance_std,1.3583183001438606,1.3183118516346797,1.3995388133831226,1.888160993778952,1.815463406816124,1.9637696496900034
log_weight_std,1.0874257296506573,1.0437497501309891,1.132929341882825,1.1071681605831534,1.0623794178558206,1.1538451472291644
log_volume_std,0.9768662697026879,0.9375607547713362,1.017819596251747,0.9880435815613275,0.9481672933766057,1.0295969138399543
freight_residual_OOT_std,1.002831979741229,0.98080438809259,1.0253542824655217,1.009746015460047,0.989209583513544,1.0307087928889658
