model,n_predictions,coverage_pct,mae,median_ae,rmse,r2
F0,92578,94.90409947821097,9.744184795523775,4.219999999999999,22.21519389171673,-0.0744389338338677
F1,92089,94.40281294528904,6.891095084674556,2.722813156473542,93.81101400820005,-18.11424421554908
F2,92578,94.90409947821097,4.787304670376985,1.8620487740309288,12.56699242922378,0.6561696352327513
