year,uf,city_norm,id_municipio,population,log_population,gdp_current,gdp_per_capita,log_gdp_per_capita
2018,SE,SAO MIGUEL DO ALEIXO,2807006,3913.0,8.272315147956022,36605.752,9354.91,9.14376350816229
2018,SE,SIMAO DIAS,2807105,40486.0,10.608736213912746,526890.4,13014.14,9.473868574189867
2018,SE,SIRIRI,2807204,8813.0,9.084096645401932,142417.663,16159.95,9.690353117475905
2018,SE,TELHA,2807303,3204.0,8.07246736935477,31574.388,9854.68,9.195803217713753
2018,SE,TOBIAS BARRETO,2807402,51843.0,10.855994488543265,557473.717,10753.11,9.283043286069402
2018,SE,TOMAR DO GERU,2807501,13061.0,9.477462530462603,121794.201,9325.03,9.140564694176303
2018,SE,UMBAUBA,2807600,25033.0,10.127990179887968,341765.88,13652.61,9.52175923451185
2018,BA,ABAIRA,2900108,8767.0,9.078864009187797,59564.835,6794.21,8.823973231184954
2018,BA,ABARE,2900207,19814.0,9.894194505624535,137846.782,6957.04,8.847653104473748
2018,BA,ACAJUTIBA,2900306,15129.0,9.624434806782402,133898.926,8850.48,9.088339955658741
2018,BA,ADUSTINA,2900355,16784.0,9.728240909414135,112227.501,6686.58,8.808007353749533
2018,BA,AGUA FRIA,2900405,16901.0,9.735187237104428,110270.144,6524.47,8.783468260248153
2018,BA,ERICO CARDOSO,2900504,10662.0,9.27453508401818,63259.972,5933.22,8.688490874649538
2018,BA,AIQUARA,2900603,4478.0,8.4071550862073,41110.652,9180.58,9.124954582094503
2018,BA,ALAGOINHAS,2900702,150832.0,11.923928543506815,3962801.946,26272.95,10.176333233005643
2018,BA,ALCOBACA,2900801,22449.0,10.0190458931704,255142.608,11365.43,9.338419553272367
2018,BA,ALMADINA,2900900,5566.0,8.624611588183507,50189.262,9017.12,9.10699116561239
2018,BA,AMARGOSA,2901007,37031.0,10.519537682711107,375616.904,10143.31,9.22466823614697
2018,BA,AMELIA RODRIGUES,2901106,25224.0,10.13559084522181,312636.368,12394.4,9.425080715025638
2018,BA,AMERICA DOURADA,2901155,16097.0,9.686450319653678,115314.93,7163.75,8.876928447818228
2018,BA,ANAGE,2901205,18194.0,9.80890211004626,169959.538,9341.52,9.142331302111964
2018,BA,ANDARAI,2901304,13153.0,9.484481173861296,104036.33,7909.7,8.975971552421418
2018,BA,ANDORINHA,2901353,14690.0,9.594990340370426,191569.88,13040.84,9.475917929820849
2018,BA,ANGICAL,2901403,14017.0,9.54809749706027,134673.547,9607.87,9.170441909202506
2018,BA,ANGUERA,2901502,11142.0,9.318566777047053,74347.931,6672.76,8.805938698221215
2018,BA,ANTAS,2901601,19093.0,9.857129428557979,117002.912,6128.05,8.72079504139013
2018,BA,ANTONIO CARDOSO,2901700,11691.0,9.366660126231137,109844.253,9395.63,9.148106393339495
2018,BA,ANTONIO GONCALVES,2901809,11715.0,9.368710707947624,69315.789,5916.84,8.685726796433807
2018,BA,APORA,2901908,17673.0,9.77984991207795,125691.871,7112.08,8.86969062168278
2018,BA,APUAREMA,2901957,7360.0,8.903951072058707,66825.81,9079.59,9.11389444745793
2018,BA,ARACATU,2902005,13229.0,9.490242257109001,109661.839,8289.5,9.022865559941428
