year,month,uf,diesel_common_state_mean,diesel_s10_state_mean,diesel_common_state_n_posts,diesel_s10_state_n_posts
2018,6,BA,3.4953544152744622,3.5540197095435677,838,964
2018,6,CE,3.601872340425532,3.567682634730539,235,835
2018,6,DF,3.593,3.669,53,112
2018,6,ES,3.3502053231939164,3.4296528662420385,263,314
2018,6,GO,3.6094260731319556,3.683434362934363,629,518
2018,6,MA,3.4856609442060087,3.5362736318407957,233,402
2018,6,MG,3.508396421197523,3.6087365269461076,1453,1503
2018,6,MS,3.6198539823008855,3.7271157894736837,226,285
2018,6,MT,3.7507162921348316,3.8409271255060733,356,494
2018,6,PA,3.616183999999999,3.6607093596059115,250,406
2018,6,PB,3.390404494382022,3.4606476683937824,89,193
2018,6,PE,3.503378787878788,3.447372641509434,66,636
2018,6,PI,3.4901241379310344,3.565351778656126,145,253
2018,6,PR,3.244265073947668,3.329522522522522,879,1110
2018,6,RJ,3.5294121365360307,3.645900684931507,791,1168
2018,6,RN,3.433072222222222,3.5654678899082572,180,218
2018,6,RO,3.597305439330544,3.684032388663968,239,247
2018,6,RR,3.5390000000000006,3.6139999999999994,41,48
2018,6,RS,3.3433921139101863,3.4632909245122985,913,1179
2018,6,SC,3.262230198019802,3.375447133757962,404,785
2018,6,SE,3.4195142857142855,3.5333913043478256,70,138
2018,6,SP,3.3241530326594098,3.4278812864234833,3215,4633
