artifact,rows,columns,order_id_duplicates,gold_supervised_rows,gold_overlap_rows,gold_missing_rows,artifact_extra_vs_gold,gold_coverage,column_names
expected_freight,96211,60,0,96470,96203,267,8,0.9972323001969524,order_id|customer_id|order_purchase_timestamp|order_delivered_customer_date|order_estimated_delivery_date|year|month|year_month|purchase_dow|actual_delivery_days|promised_delivery_days|lateness_days|late_delivery_calendar_day|on_time|truck_strike_2018|anp_strike_measurement_disruption_2018|route_sellers_total|route_sellers_with_distance|distance_min_km|distance_mean_km|distance_max_km|total_price|total_freight|weight_complete|volume_complete|state_comparisons_available|any_interstate_route|total_weight_g|product_volume_sum_proxy_cm3|distance_freight_weighted_km|route_distance_coverage|single_seller_order|state_route_complete|same_state_all|interstate_freight_share|seller_id|customer_city_norm|customer_state|seller_city_norm|seller_state|customer_id_municipio|customer_population|customer_log_population|customer_gdp_current|customer_gdp_per_capita|customer_log_gdp_per_capita|customer_diesel_common_municipal|customer_diesel_s10_municipal|customer_diesel_common_municipal_n_posts|customer_diesel_s10_municipal_n_posts|customer_diesel_common_state|customer_diesel_s10_state|customer_diesel_common_state_n_posts|customer_diesel_s10_state_n_posts|customer_diesel_geo_level|freight_burden|expected_freight_oot|freight_residual_OOT|freight_oot_available|freight_ratio_to_expected
shipping_friction,96211,22,0,96470,96203,267,8,0.9972323001969524,order_id|order_purchase_timestamp|year_month|total_price|total_freight|expected_freight_oot|freight_burden|freight_to_price_ratio|log_freight_to_price_ratio|freight_residual_abs|freight_residual_relative|freight_expected_ratio|freight_log_ratio|freight_log_ratio_month_z|median_log_ratio|mad_log_ratio|scaled_mad|valid_price|valid_freight|valid_expected_freight|valid_year_month|robust_scale_usable
