model,n_oot,mae_oot,median_ae_oot,rmse_oot,r2_oot
S0_Physical,90775,5.5959635171844235,4.309277110177031,8.463010057994273,0.17721008833991936
S1_Cost,90775,5.600561964910397,4.288796256331236,8.464216964926965,0.1769753960378616
S2_Anomalies,88492,5.614435253822641,4.305554206623535,8.402892222293783,0.17670839134521632
S3A_Context_All,88016,5.5709443840356405,4.2608527552113244,8.332026335818638,0.1812535682478965
S3B_ANP_Subset,68386,5.659970004512007,4.522758894117709,8.17436464707079,0.17460482050786041
