variable,n,mean,std,median,q1,q3,p05,p10,p90,p95,p99,min,max
total_freight,96211,22.784223009842947,21.565320009917393,17.17,13.85,24.01,7.87,9.34,39.4,54.765,104.23899999999993,0.0,1794.96
freight_burden,96211,0.2089733743161642,0.125576192523091,0.18325606763021543,0.11662910349308839,0.27566358758814213,0.05154468738810839,0.07279917972755237,0.38362919132149903,0.4561933534743202,0.5935415545992455,0.0,0.9554507337526205
distance_freight_weighted_km,95734,600.2754560817277,592.118384263672,433.66691166359703,185.737114550466,797.3761457469693,16.591274829643098,34.76602851870303,1456.523184083704,2094.9754947502392,2482.6505076842213,0.0,3398.4902988509807
total_weight_g,96195,2386.3054212796924,4771.496995999236,750.0,300.0,2050.0,147.0,175.0,6550.0,10500.0,22350.0,0.0,184400.0
product_volume_sum_proxy_cm3,96195,17323.247466084515,30152.49933645263,7240.0,2964.0,19840.0,816.0,1408.0,42900.0,64000.0,135606.35999999952,168.0,1476000.0
total_price,96211,137.00124860982632,209.1133704385442,86.5,45.9,149.9,19.0,25.0,269.0,399.0,991.7099999999889,0.85,13440.0
