model,status,nobs,r2_in_sample,adj_r2_in_sample
S0_Physical,PASS,95710,0.17704949546101745,0.17700650088897552
S1_Cost,PASS,95710,0.1782004850195822,0.17814037554846485
S2_Anomalies,PASS,90775,0.190772210814658,0.19070088650474593
S3A_Context_All,PASS,90279,0.1961846187717099,0.1960866652649632
S3B_ANP_Subset,PASS,70091,0.19907479109139847,0.1989376424497863
