,total_freight,freight_burden,distance_freight_weighted_km,total_weight_g,product_volume_sum_proxy_cm3,total_price
total_freight,1.0,0.11287814741264583,0.3155048847202866,0.6400462927377433,0.6385918804113342,0.41116221512841916
freight_burden,0.11287814741264583,1.0,0.2202054304418449,-0.0928661589610428,-0.0741363993162176,-0.41556060957172475
distance_freight_weighted_km,0.3155048847202866,0.2202054304418449,1.0,-0.010034484871786693,-0.013341893507944366,0.08063697999450918
total_weight_g,0.6400462927377433,-0.0928661589610428,-0.010034484871786693,1.0,0.8281823249609442,0.3494235085322342
product_volume_sum_proxy_cm3,0.6385918804113342,-0.0741363993162176,-0.013341893507944366,0.8281823249609442,1.0,0.312711417732932
total_price,0.41116221512841916,-0.41556060957172475,0.08063697999450918,0.3494235085322342,0.312711417732932,1.0
