term,coef,se_two_way,t_two_way
Intercept,3.9002337775458416,2.14576170081219,1.8176453499331116
log_distance,1.7458629709186049,0.23550370553878872,7.413314227580389
log_weight,0.30719344030439183,0.13435328816718684,2.2864601566142975
log_volume,0.03573152772474701,0.12377996548392374,0.2886697179551867
route_sellers_total,3.900233777545853,2.1457617008119465,1.8176453499333232
any_interstate_route,2.92129604333969,0.38508609560884277,7.5860854927025
log_freight,0.8639899597294803,0.3003807540859955,2.8763159689056845
freight_burden,0.7383919151180288,0.8979187971035137,0.8223370726839853
freight_residual_OOT,-0.021357587690422373,0.007188329147057957,-2.9711477108924007
log_pop,0.07728008881764202,0.11018768385120273,0.7013496074751959
log_gdp,-1.2593931286883633,0.2541256883132648,-4.955788362237072
truck_strike_2018,0.49751920462493826,0.25280639748435646,1.9679850255993798
