model,n_predictions,coverage_pct,mae,median_ae,rmse,r2
F0,92578,94.90409947821095,9.744184795523775,4.219999999999999,22.21519389171673,-0.07443893383386779
F1,92089,94.40281294528904,6.891095084674556,2.722813156473542,93.81101400820005,-18.114244215549082
F2,92578,94.90409947821095,4.787304670376985,1.8620487740309288,12.566992429223781,0.6561696352327513
