path,size_bytes,sha256,staging_status
artifacts/model_01_order_logistic/supervised_predictions/predictions_2017-11.csv.gz,1086013,5fb61fe506b279281a737f6586fee45f0fbca660bd90773c37b341ef0c599fb5,COPIED_TO_GIT_STAGING
artifacts/model_01_order_logistic/supervised_predictions/predictions_2017-12.csv.gz,827303,26017615c79dca3bcbddc255505c425766647651852f1760f770d437155e27ec,COPIED_TO_GIT_STAGING
artifacts/model_01_order_logistic/supervised_predictions/predictions_2018-01.csv.gz,1046648,4d8afe346be360c14068743ca6cd3749c9ab13e2876b461d9370c8fed4bb3579,COPIED_TO_GIT_STAGING
artifacts/model_01_order_logistic/supervised_predictions/predictions_2018-02.csv.gz,963485,ae26d221e90c746e9694da9640a622276fc6bcd1c59bd78d30c6a476c42db96f,COPIED_TO_GIT_STAGING
artifacts/model_01_order_logistic/supervised_predictions/predictions_2018-03.csv.gz,1033360,ea05e2142d836e2eccc11d92e687b0ba65da25e1684494b2cd0e82f902f66e9a,COPIED_TO_GIT_STAGING
artifacts/model_01_order_logistic/supervised_predictions/predictions_2018-04.csv.gz,1001787,c10f16f1108565f65ae792aab3c2c1cc0c7a5442acf5b92df51d80b2bbe27e7c,COPIED_TO_GIT_STAGING
artifacts/model_01_order_logistic/supervised_predictions/predictions_2018-05.csv.gz,992233,ccd92b85354ee516cb90e11fc09d46583a7187555c232332042e5467d3cca31b,COPIED_TO_GIT_STAGING
artifacts/model_01_order_logistic/supervised_predictions/predictions_2018-06.csv.gz,898718,418965daee450df9a645edc8860832dfe4170d142b0b7e6f4c0a46f492f9bd68,COPIED_TO_GIT_STAGING
artifacts/model_01_order_logistic/supervised_predictions/predictions_2018-07.csv.gz,909889,f406d94aa37cf530de49a65af9ff298d544e20c7b919dabbedf231f2b77be31c,COPIED_TO_GIT_STAGING
artifacts/model_01_order_logistic/supervised_predictions/predictions_2018-08.csv.gz,938373,99ffdbd26bf9b42b5a21c6d76d7f5cb5b98877e2cd9b3ca90fa80b9f3cc10ac7,COPIED_TO_GIT_STAGING
artifacts/shipping_friction/27a_01_shipping_friction_core.csv,29771671,f50fac05ea69a9e774779716243e3eb1a58aee762b8893ad5b29c3b97ddb8e26,NOT_IN_GIT_STAGING
artifacts/shipping_friction/27a_02_burden_segments.csv,8445077,65a61902f5a23bd7e6702e9cac2e13048324e0ebc6a4ffb13d5df111bc5b644e,NOT_IN_GIT_STAGING
artifacts/shipping_friction/27a_03_service_performance_core.csv,21306489,97777181c7f9f1eb19e2d42bb18d733815a479688b28d8683a1c65e41bb71281,NOT_IN_GIT_STAGING
artifacts/shipping_friction/27a_04_cost_service_core.csv,21101510,cf6835722341e3f2e567f07cd169cafd27da558e860f287d5e65178cc4e15256,NOT_IN_GIT_STAGING
artifacts/spatiotemporal_logistics/01_ROUTE_SELLER_ORDER.csv,41829677,1f1c7d03db5f8ccf713bb3bed722bb2564a8f287338b05c459a5e9cff76705af,NOT_IN_GIT_STAGING
artifacts/spatiotemporal_logistics/02_ROUTE_ORDER_LEVEL.csv,15528741,108537bbd11ba9ab0aef192428581600d702c7f735b900fd95038ab1676096bc,NOT_IN_GIT_STAGING
artifacts/spatiotemporal_logistics/03_MUNICIPAL_CONTEXT.csv,1023692,fddfbf7f16c4faf50e3ff50fc2fcac7bd7459bcfea9cb2f00e8a46f1e96d27c1,COPIED_TO_GIT_STAGING
artifacts/spatiotemporal_logistics/04_ANP_CONTEXT.csv,481778,ddbb41ad4ef5dd55f76013e2246ae816b31a102205cf8a29e96ccd2a128ba5c2,COPIED_TO_GIT_STAGING
artifacts/spatiotemporal_logistics/04b_ANP_STATE_CONTEXT.csv,34489,c6501f591b0d055799f639168a32ee4dcba8f4a702cf80e0e56f91d433ebf003,COPIED_TO_GIT_STAGING
artifacts/spatiotemporal_logistics/05_SPATIOTEMPORAL_CONTEXT_CORE.csv,51603462,8298cfbc9bf859dcf4e037728554dd5fca586f488e89790636a8b4b74b53f811,NOT_IN_GIT_STAGING
artifacts/spatiotemporal_logistics/06_EXPECTED_FREIGHT_OOT.csv,58814738,cefb0ae08d6b15e8c4be77ddea720b0841a0373a7ec7e1b135c9a20d56a19846,NOT_IN_GIT_STAGING
artifacts/spatiotemporal_logistics/gnadmm_delivery/15_delivery_gnadmm_design.before_month_dtype_fix_20260831T034527Z.npz,3790525,9cfa49cf23cb80e9e4dde9acc741c86aca79f08aec7139365d78b840e15856fb,NOT_IN_GIT_STAGING
artifacts/spatiotemporal_logistics/gnadmm_delivery/15_delivery_gnadmm_design.npz,3842081,c493e19f67cc6349847a9ab0c79c5587528e2a4f9156644062342025280e9e44,NOT_IN_GIT_STAGING
artifacts/spatiotemporal_logistics/gnadmm_delivery/15_delivery_gnadmm_metadata.json,1184,56095766d05506ea79896aec81964ea7f41103326387cdd381e019f61d714dd6,COPIED_TO_GIT_STAGING
artifacts/spatiotemporal_logistics/gnadmm_delivery/16_gn_unconstrained_beta.npy,192,23668bf14239d8d536cbed1b4d6a018ce2b4f34aab8b6d96fe00d60f6228c0fd,COPIED_TO_GIT_STAGING
artifacts/spatiotemporal_logistics/gnadmm_delivery/17_gnadmm_constrained_beta.npy,192,c8a4d92ac7891cae7988e6dd6692842242ffaea4dc1c26fb535090f86ebbfcd6,COPIED_TO_GIT_STAGING
