fold_id,test_month,feature,repeat,baseline_ap,permuted_ap,ap_drop
1,2017-07,item_count,1,0.044324701848704094,0.04338683026986929,0.0009378715788348063
1,2017-07,item_count,2,0.044324701848704094,0.039648344022168214,0.0046763578265358804
1,2017-07,item_count,3,0.044324701848704094,0.04310213201373869,0.0012225698349654021
1,2017-07,item_count,4,0.044324701848704094,0.04109992620989582,0.0032247756388082763
1,2017-07,item_count,5,0.044324701848704094,0.04451796255251672,-0.0001932607038126269
1,2017-07,unique_product_count,1,0.044324701848704094,0.0414217984816366,0.002902903367067493
1,2017-07,unique_product_count,2,0.044324701848704094,0.04655815983882891,-0.0022334579901248167
1,2017-07,unique_product_count,3,0.044324701848704094,0.04155943341696323,0.0027652684317408666
1,2017-07,unique_product_count,4,0.044324701848704094,0.04199648667912746,0.002328215169576632
1,2017-07,unique_product_count,5,0.044324701848704094,0.04359536657120948,0.0007293352774946152
1,2017-07,unique_seller_count,1,0.044324701848704094,0.04466803259839465,-0.0003433307496905555
1,2017-07,unique_seller_count,2,0.044324701848704094,0.04449980881191008,-0.00017510696320598845
1,2017-07,unique_seller_count,3,0.044324701848704094,0.04426856451461264,5.613733409145366e-05
1,2017-07,unique_seller_count,4,0.044324701848704094,0.04510460721117449,-0.0007799053624703983
1,2017-07,unique_seller_count,5,0.044324701848704094,0.044076696301001084,0.0002480055477030105
1,2017-07,total_price,1,0.044324701848704094,0.045212865935129895,-0.0008881640864258009
1,2017-07,total_price,2,0.044324701848704094,0.04479549860449662,-0.0004707967557925283
1,2017-07,total_price,3,0.044324701848704094,0.04441239734712737,-8.769549842327362e-05
1,2017-07,total_price,4,0.044324701848704094,0.04504336313251399,-0.0007186612838098946
1,2017-07,total_price,5,0.044324701848704094,0.04462024424610374,-0.0002955423973996438
1,2017-07,mean_price,1,0.044324701848704094,0.04623165394228939,-0.0019069520935852957
1,2017-07,mean_price,2,0.044324701848704094,0.04525994312087174,-0.0009352412721676459
1,2017-07,mean_price,3,0.044324701848704094,0.04599320881532632,-0.0016685069666222269
1,2017-07,mean_price,4,0.044324701848704094,0.04499453024692849,-0.0006698283982243952
1,2017-07,mean_price,5,0.044324701848704094,0.04551717458807081,-0.0011924727393667137
1,2017-07,max_price,1,0.044324701848704094,0.045466790374521816,-0.0011420885258177221
1,2017-07,max_price,2,0.044324701848704094,0.045484261926950514,-0.0011595600782464202
1,2017-07,max_price,3,0.044324701848704094,0.04458116621585935,-0.0002564643671552555
1,2017-07,max_price,4,0.044324701848704094,0.04537826428281141,-0.0010535624341073135
1,2017-07,max_price,5,0.044324701848704094,0.044539639210710094,-0.00021493736200599994
