importance_rank,feature,mean_standardized_coefficient,median_standardized_coefficient,mean_abs_standardized_coefficient,mean_odds_ratio_per_1sd,positive_folds,negative_folds,zero_folds,mean_ap_drop,median_ap_drop,min_ap_drop,max_ap_drop,mean_abs_logit_contribution,top_driver_count,top_driver_share
1,mean_freight,0.060079879487476666,0.0756784951302315,0.06507247739269616,1.0626797444156284,13,1,0,0.007082550866066148,0.003341063193973614,-0.006410278016155277,0.03365818865907186,0.04164367569846711,28889,0.3511443886667234
2,max_freight,0.052179514301279505,0.05768009465374483,0.052179514301279505,1.0537134942856898,14,0,0,0.004776980677109719,0.0027361077569487448,-0.005214902912466908,0.01894595051826664,0.0313445308641472,3740,0.04545951793463067
3,min_price,0.06372882103629014,0.03986869977234923,0.06372882103629014,1.0670620218150113,14,0,0,0.00390344011296422,0.0008523521536070722,-0.0031746365454340397,0.032913804553870676,0.028578712333907918,4681,0.05689732712620486
4,mean_price,0.060759727506041174,0.041922277355184695,0.060759727506041174,1.0637376328311763,14,0,0,0.003723679347025949,0.0008608323250586386,-0.006619073480997523,0.0340587953920594,0.027410238578083664,765,0.009298537759356273
5,max_price,0.05629462249735912,0.040088362561222585,0.05629462249735912,1.0588788337272865,14,0,0,0.0031152559317923693,0.0007966108288806097,-0.00702045676077695,0.026760176997203164,0.025459971464734818,0,0.0
6,total_price,-0.07283219342028359,-0.05042724921090731,0.07283219342028359,0.9313412279566954,0,14,0,0.001990905416220765,0.001121802160068533,-0.002509761844713257,0.013124008401671827,0.03299585652086236,10965,0.13327904121743991
7,merchandise_plus_freight,-0.06894893609490671,-0.04862016104361089,0.06894893609490671,0.9348313764381013,0,14,0,0.0017435257863707967,0.0007930004204171545,-0.0037468443725206663,0.01009218167775372,0.03194719453758447,6296,0.0765275735070681
8,item_count,0.015319541500893744,0.01593886364175943,0.042958291969816764,1.0165933867920722,9,5,0,0.0007443663788085257,0.0003987946852667054,-0.005127926492701079,0.004704283535786183,0.019199195355803812,4325,0.052570164456491354
9,total_freight,0.010286307610048201,0.012618567796041272,0.017334642846907267,1.0105131731865125,9,5,0,0.0003612609539210989,8.443392811735562e-05,-0.004637220637092425,0.0043462627892235095,0.009223080183789643,233,0.002832103657424852
10,unique_seller_count,-0.13955691582323476,-0.1582585687223091,0.13955691582323476,0.8706862873194016,0,14,0,0.0003590068063343251,0.0001926770808683663,-0.0010648388300010941,0.0029875773172099718,0.034461026513538204,8263,0.10043636275236718
11,unique_product_count,-0.008257342525325855,-0.010222528571228892,0.020977461387131146,0.9920175547990419,5,9,0,0.0002683946543151517,0.00017464381530292797,-0.0022334579901248167,0.002902903367067493,0.007304812492484843,717,0.008715100096024116
12,price_range,-0.09189791758907909,-0.05301472588018428,0.09428609169197284,0.9161849036376498,3,11,0,0.00017224667161018547,3.581095547658397e-05,-0.0018264919422465442,0.0022892741562432345,0.013522827311362744,1620,0.019691021137460345
13,freight_price_ratio,0.012490695235088103,0.01958957371725623,0.03368474153594401,1.0133768721031262,12,2,0,-0.00010461675719219148,0.00012129211568299991,-0.012362624477896635,0.003907848477138209,0.019923540657514845,11777,0.14314886168880894
