fold_id,test_month,feature,standardized_coefficient,odds_ratio_per_1sd,abs_standardized_coefficient,raw_unit_logodds_coefficient,train_mean,train_scale
1,2017-07,item_count,-0.0702307224486025,0.9321787205358386,0.0702307224486025,-0.1568961551682711,1.1228491902834008,0.4476255162102606
1,2017-07,unique_product_count,0.024962160893968684,1.0252763242508807,0.024962160893968684,0.11492135272635057,1.0374493927125505,0.21721081680450022
1,2017-07,unique_seller_count,-0.05525340617608261,0.9462453331579804,0.05525340617608261,-0.5815718805167168,1.0091093117408907,0.09500701121758309
1,2017-07,total_price,-0.003923066415031211,0.9960846187569192,0.003923066415031211,-1.716817928067777e-05,137.3132831477733,228.50800605551083
1,2017-07,mean_price,0.016221527725312407,1.0163538110172592,0.016221527725312407,7.449775352432324e-05,127.25410688680837,217.74519308177716
1,2017-07,max_price,0.012999469929613759,1.0130843303536645,0.012999469929613759,5.9573818845774376e-05,127.86613486842106,218.20776612066766
1,2017-07,min_price,0.01882835690017416,1.0190067281323303,0.01882835690017416,8.652042826657938e-05,126.68692940283402,217.6174722825207
1,2017-07,price_range,-0.07495947580115786,0.9277810831518528,0.07495947580115786,-0.0044566538075461485,1.1792054655870445,16.819676608991724
1,2017-07,total_freight,0.03191853455673508,1.0324333942349893,0.03191853455673508,0.001559702131727278,21.377463309716603,20.46450659228579
1,2017-07,mean_freight,0.023341937682441517,1.0236164927639564,0.023341937682441517,0.0016440545963981956,19.14839522182861,14.197787429674884
1,2017-07,max_freight,0.00547370490113227,1.005488712994601,0.00547370490113227,0.0003838026893047546,19.294447115384614,14.261767970015267
1,2017-07,merchandise_plus_freight,-0.0010267499222763876,0.9989737770050687,0.0010267499222763876,-4.333786775386925e-06,158.6907464574899,236.9174985967597
1,2017-07,freight_price_ratio,-0.10508237744322703,0.900250359208757,0.10508237744322703,-0.3467084629394468,0.31189088577874075,0.3030857007421242
2,2017-08,item_count,0.10312121405457296,1.108625781957937,0.10312121405457296,0.21079619398291974,1.1275752773375594,0.48919865252846356
2,2017-08,unique_product_count,0.01707282894114014,1.017219402639614,0.01707282894114014,0.07643662360908994,1.0390913893291072,0.22335927641772257
2,2017-08,unique_seller_count,-0.0986876543439717,0.9060256570105221,0.0986876543439717,-0.9308351032374352,1.0108293713681986,0.10602055509159143
2,2017-08,total_price,-0.20356982225992892,0.8158132404098969,0.20356982225992892,-0.0009298875603274549,135.61456154252508,218.91874990589497
2,2017-08,mean_price,0.16503856145901008,1.1794385987076763,0.16503856145901008,0.0007889866634607917,125.40176246027553,209.17788487715242
2,2017-08,max_price,0.1577020917597392,1.1708173466124923,0.1577020917597392,0.0007525154237959724,126.02733755942948,209.5665906277777
2,2017-08,min_price,0.17243019325972786,1.1881888741277795,0.17243019325972786,0.0008247347679949702,124.81976316252863,209.0735106013858
2,2017-08,price_range,-0.19588547879475676,0.8221063779006214,0.19588547879475676,-0.01278399807816149,1.2075743969008628,15.322708717344215
2,2017-08,total_freight,0.04167643543052074,1.0425570896342595,0.04167643543052074,0.0020395939783818054,21.576645536185946,20.433692132973658
2,2017-08,mean_freight,-0.03494818533653649,0.9656554500734799,0.03494818533653649,-0.002402709232027935,19.257930099615123,14.545324449034359
2,2017-08,max_freight,0.06425818316143354,1.0663676814025398,0.06425818316143354,0.0043787879117847634,19.43455714034161,14.67487908891261
