payment_type,orders,late_orders,late_rate_pct,share_of_order_category_pairs_pct
credit_card,74297,4962,6.678600751039745,75.31297199217444
boleto,19191,1405,7.321140117763535,19.45342672654104
voucher,3679,220,5.979885838543082,3.729308369910087
debit_card,1484,79,5.323450134770889,1.5042929113744412
