purchase_weekday,orders,late_calendar_rate_pct
Friday,13684,7.01549254603917
Monday,15701,7.439016623145022
Saturday,10555,6.594031264803411
Sunday,11632,6.224209078404401
Thursday,14322,6.3049853372434015
Tuesday,15502,7.0507031350793445
Wednesday,15074,6.5675998407854586
